"departamento","año","mes","fecha","Analfabetismo","Bajo_logro_educativo","Barreras_acceso_salud","Desempleo_larga_duracion","Inasistencia_escolar","Rezago_escolar","Sin_aseguramiento_salud","Trabajo_informal","IPM_Total","Vida_general","Salud","Seguridad","Trabajo_actividad","Tiempo_libre","Ingreso","Propia_totalmente_pagada","Propia_la_estan_pagando","En_arriendo_o_subarriendo","Con_permiso_sin_pago","Posesion_sin_titulo","Propiedad_colectiva","Deficit_cuantitativo","Deficit_cualitativo","Deficit_habitacional","No_alcanzan_gastos_minimos","Alcanzan_gastos_minimos","Cubren_mas_gastos_minimos","Pobreza_monetaria","No_pobres","Energia","Gas_natural","Acueducto","Alcantarillado","Recoleccion_basura","Telefono_fijo","Ningun_servicio","precipitacion_promedio","temperatura_promedio","ndvi_promedio","IPC_Total","FIES_preocupacion_alimentos","FIES_no_alimentos_saludables","FIES_poca_variedad_alimentos","FIES_saltar_comida","FIES_comio_menos","FIES_sin_alimentos","FIES_hambre_sin_comer","FIES_no_comio_dia_entero","FIES_moderado_grave","FIES_grave","clave"
"Meta",2022,"enero","2022-01-01",6.5,44.1,2.1,10.7,4.1,27.5,8.3,74.8,11.3,8.1,7.7,7.2,7.3,7.3,6.7,32.2,3,46.4,12.4,4.1,1.9,9.2,19,28.2,46.8,48.9,4.2,43.2,56.8,98.6,68.7,82.8,77.4,85.6,5.2,1.3,0.874875111440284,28.2228179544684,0.568008399347819,139.82,35.9247237506996,31.0128035336781,32.791993421064,24.4093346199587,24.0401732004064,12.0555843559732,14.3993495766803,3.66601314811001,25.5,4.1,"Meta_2022_enero"
"Narino",2022,"enero","2022-01-01",10.4,61.6,3,11.2,1.9,23.6,4.2,87.9,17.6,7.1,6.7,6.5,6.1,6.6,5.3,39.7,1.4,23.3,24.7,10.5,0.4,20.4,27.6,48,63.6,32.7,3.7,71.5,28.5,99.5,7.9,72.6,44.5,54.5,6,0.3,7.08403035830083,18.5855601919725,0.648417622440919,133.94,46.4890251272046,42.6595924278974,49.6631575767136,36.9126546960591,34.5856073129039,21.2875652849108,20.7642409312337,1.78976061774344,37.1,7.4,"Narino_2022_enero"
"Norte De Santander",2022,"enero","2022-01-01",8.7,47.9,2.1,9.3,4.8,27.8,16.9,86.7,18.5,8.1,7.9,7.5,7.5,7.6,6.8,32.9,2.5,41.4,18.7,3.3,1.1,6.8,27.1,33.9,41,54.4,4.6,52.3,47.7,99.3,60.9,86.2,83.5,85.2,9,0.5,1.10987778614883,20.4056000779164,0.719601216012158,144.11,34.8263158430376,28.9602303339679,34.9115838130646,24.4790873667057,23.8804958677418,10.5534123960595,10.7079585718238,4.529739172893,25.8,2.9,"Norte De Santander_2022_enero"
"Putumayo",2022,"enero","2022-01-01",8.5,57.4,4.3,11.2,4.5,23.8,10.4,92.3,20.8,7.5,7.2,6.6,6.3,6.6,5.7,31.7,0.9,35.4,23.1,6.4,2.4,41.4,25.3,66.7,43.6,54,2.4,71.6,28.4,87.9,13.2,54.4,54.6,63.7,0.5,10.5,5.96332504042082,24.983704316553,0.663907692456672,131.19,36.4394880751316,30.3871077959252,36.1217958791473,25.6356091265688,23.710812357986,14.4193384598126,12.4840009612025,1.26600470051943,24.4,3,"Putumayo_2022_enero"
"Quindio",2022,"enero","2022-01-01",6.1,40.1,0.8,17.7,1.9,18.3,8.8,69.3,10,8.4,7.9,7.9,7.2,7.7,6.8,32.7,3.6,46.1,12.9,2.3,2.4,3.2,9.3,12.4,35.6,59.3,5.1,37.9,62.1,99.7,81.4,97.8,88.7,95.6,15.2,0,3.73477486187924,17.1061296442504,0.578331262937984,137.15,26.1203125406574,23.8029421622171,26.4655608236318,16.3424369849574,18.0282625058063,8.34933376384359,7.49239409627618,3.21500632069151,17.3,2.2,"Quindio_2022_enero"
"Risaralda",2022,"enero","2022-01-01",7.1,43.5,2.7,16.1,1.8,19.1,9.3,71,10,8.4,8.1,8.2,7.7,7.8,7.3,32.1,3.3,48.5,12.9,1.5,1.7,2.9,14.4,17.3,33.5,56.4,10.1,30.5,69.5,99.7,80.3,96,85.9,91.1,20.5,0.1,4.43510701168497,17.9023521331464,0.678358298594185,136.99,24.4928392658904,23.9000992047419,25.0569187870855,17.7760262877064,20.826957834135,9.31845063396639,8.82038051558049,2.08184689510445,17.5,2.5,"Risaralda_2022_enero"
"Santander",2022,"enero","2022-01-01",7.7,44.3,0.9,12.1,1.9,24.6,6.7,75.5,10.4,8.2,7.9,7.2,7.1,7.6,6.7,32.3,3.4,46,11.7,5.2,1.3,5.9,22.6,28.4,43.1,51,6,49.5,50.5,99.7,73.8,87.8,76.1,80.8,23.9,0.2,1.6110417151413,21.4363490714858,0.712414955381151,139.69,30.3045358175189,28.9144036096361,29.670037201405,19.5455627477897,21.3255543102703,8.84399029983464,10.4501826604128,3.01430718106229,20.5,2.5,"Santander_2022_enero"
"Sucre",2022,"enero","2022-01-01",19.8,53.9,4.3,11.4,1.9,31.1,3.6,92.6,26,8.1,8,7.6,7,7.4,5.7,42.7,1.3,20.6,24.2,10.3,1,8.2,53.1,61.3,72,24.3,3.7,78.7,21.3,98.9,53.9,81.8,53.4,62,2.3,0.8,0.268109092622455,28.1573492080878,0.595912382793026,128.08,56.8487154913192,47.6428860608773,56.4497003069692,51.3613809125217,47.7580193231505,27.3518332333405,26.7083677561687,5.00072272832814,47.9,10.4,"Sucre_2022_enero"
"Tolima",2022,"enero","2022-01-01",6,49,0.8,16.5,2.1,21.6,5.4,79.7,10.5,7.7,7.5,7.6,7,7.4,6.3,40.9,3.8,38.8,14.1,2,0.4,4,24.1,28.1,42.4,52.4,5.2,54,46,99.5,77.3,88.4,72.2,76.7,12.5,0.2,3.49085097799445,21.4203557547865,0.614501816858892,139.72,39.8734479780518,31.4325631360211,35.8780662833683,25.7798354288018,25.4832778869263,9.93342576319781,12.9669781083072,2.68784067903452,27.4,3.3,"Tolima_2022_enero"
"Valle Del Cauca",2022,"enero","2022-01-01",6.2,37.8,1.6,13.7,2.4,22.6,9.3,67.3,9.7,7.9,7.7,7.1,7,7.4,6.7,31.4,4.2,47,13.6,2,1.7,4.5,14.1,18.6,42.7,50,7.3,40.6,59.4,99.5,82,96.9,89.6,95.2,23.5,0.1,2.71854626484692,18.2626382902213,0.6192244623972,138.63,33.5921975952101,32.7068146390269,36.971562962104,26.747651673618,27.9208262243317,14.6800632968262,14.7718793250544,2.92659229473267,28,4.5,"Valle Del Cauca_2022_enero"
"Vaupes",2022,"enero","2022-01-01",11.3,58.9,0.3,36.1,6.4,34.7,2.3,86.9,47.1,7.3,7.2,7,6.2,6.9,6,19.8,0,7.6,4.4,1.2,67,83,8.3,91.3,63.8,34.9,1.3,66.5,33.5,91.4,0,29.4,26,28.8,0.1,8.6,3.20941146406985,25.9152726552834,0.716782355916348,131.19,41.9684472094308,33.858399051014,42.1532844069482,40.2634398194716,34.6065407892058,22.8807702069214,25.5982332026087,13.5436173255065,36.5,8.7,"Vaupes_2022_enero"
