"FIES_preocupacion_alimentos","FIES_no_alimentos_saludables","FIES_poca_variedad_alimentos","FIES_saltar_comida","FIES_comio_menos","FIES_sin_alimentos","FIES_hambre_sin_comer","FIES_no_comio_dia_entero","IPM_Total","IPC_Total","Pobreza_monetaria","Vida_general","Ingreso","FIES_leve_moderado","FIES_grave","FIES_moderada","departamento_num","tiempo"
46.4,37.8,36.2,25.8,29.9,16.5,26,13.4,22.8,166.33,68.3,7.8,6.6,31.7,9.9,21.8,3,18
51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3,12,166.93,56.7,8.5,6.7,35.8,8.5,27.3,4,18
28.4,24.6,29.5,18.5,22.3,10.3,12,5.8,3.6,170.52,25.5,7.9,6.9,21.2,4.7,16.5,5,18
49.1,36.9,42.6,27.4,31.3,19.4,18.2,6.3,18.4,167.76,64.5,8.1,6.8,32.9,6.2,26.7,6,18
36.6,26.9,31.9,9.6,17,4.2,5.4,1.2,9.9,171.29,43.1,8,6.7,16.7,1.5,15.2,7,18
24.4,19.6,24.8,9.2,16.8,4.4,5.8,1.7,7.4,172.96,28.5,8.6,7.4,14.8,1.9,12.9,8,18
23.9,18.3,21.1,9.3,14.6,3.6,5,1.5,17.2,175.93,69.5,8,6,13.7,1.2,12.5,9,18
48.3,40.7,45.4,26.9,32.5,14.2,16.9,4.5,15,166.33,44.3,8.1,6.5,32.9,6,26.9,10,18
44.6,38.5,42.8,20.3,28.4,12.7,15.3,4.6,15.8,182.81,60.7,7.4,5.9,29,5.5,23.5,11,18
42.3,35.6,38.1,26.1,32,17.9,20.4,8,17.7,168.89,67.8,8.4,6.8,32.2,9,23.2,12,18
25.7,22.1,23.1,14.3,18,11.5,16.4,8.4,37.4,166.33,81.7,7.2,6.4,18.9,2.9,16,13,18
41.3,33.3,37,20.8,28,11.6,11.9,5.5,7.6,170.52,41.9,7.9,6.8,27.2,4.1,23.1,15,18
48,37.1,41.3,27.7,30.8,13.9,15.7,3.1,21.4,171.59,71.3,8,5.9,30.6,4.5,26.1,14,18
41,31.5,33.8,24.7,23.5,15,15,8.7,52.1,166.33,70.7,7.9,6.6,26.4,6.3,20.1,16,18
52.4,43.9,46.1,30,35.1,18.1,25.4,13.5,30.6,166.33,55.3,8.1,6.3,36.7,9.2,27.5,18,18
43.8,36,34.9,14.5,24.2,6.5,9.4,3.2,11.9,179.98,60.1,8.1,6.2,22.7,2.8,19.9,19,18
59.4,51.9,55.1,45.1,50.4,32.2,32.4,14.4,42.6,170.66,78.9,7.7,6.3,50.1,15.6,34.5,17,18
54.8,43.2,50.1,35,39.2,23.1,20.5,9.7,21.4,165.42,67.8,8.4,6.6,39,8.7,30.3,20,18
40.9,34.4,35.3,20.5,23.5,9.6,14.6,5.4,12.9,174.27,41.6,8.1,6.7,25.9,4.7,21.2,21,18
54,41.4,47,16.5,27.4,10.6,11.8,6.4,16.6,173.5,71.2,7.3,5.5,29.7,3.8,25.9,22,18
43.3,31.2,34,16.7,24,10.1,11.2,6.6,20.5,180.71,50.9,8.1,6.2,23.9,3.6,20.3,23,18
43,27.5,31.7,9.6,16.2,3.5,6.3,2.5,13.2,166.33,65.4,8,6.6,18,1.2,16.8,24,18
39.3,32.9,36.7,16.9,26.8,7.4,9.1,3.3,7.5,172.05,42.1,8.2,7,24.5,3.6,20.9,25,18
26.8,20.1,23,12.9,19.5,9,11.9,3.9,11.8,172.78,27.8,8.6,7.7,17.1,3.9,13.2,26,18
40.6,31.9,37,13.7,24.7,7.5,11.1,2.7,9.8,177.57,47.8,8.5,7,23.2,3,20.2,27,18
56.1,45.4,53.2,45.2,42.2,27.4,27.7,10.4,23.1,166.53,66.2,7.9,6.1,44.8,10.6,34.2,28,18
50.2,43.7,46.5,21.2,31.8,13.2,15.5,3.4,12.9,176.03,54.3,8.3,6.4,32.6,5.5,27.1,29,18
41.3,33.8,37.7,17.2,28,11,12.4,3.2,7.2,180.01,36.5,7.9,6.6,26.1,4.3,21.8,30,18
50.3,27.5,43.2,38.3,36,18.9,21.7,8.6,55.7,166.33,72.4,8.3,6.4,34.4,4.7,29.7,31,18
41.9,35.4,43.1,35.6,39,30.6,37.6,31.3,65.4,166.33,87.4,7.2,6.2,39.7,16.8,22.9,32,18
31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9,25.4,166.78,45.8,8.5,7.9,20.6,5.2,15.4,1,19
35.2,30,31.8,14.7,23.7,7.8,8.8,7.9,9.5,170.73,44.1,8.5,7.5,21.6,3,18.6,2,19
46.4,37.8,36.2,25.8,29.9,16.5,26,13.4,22.8,166.78,68.3,7.8,6.6,31.7,9.9,21.8,3,19
51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3,12,167.89,56.7,8.5,6.7,35.8,8.5,27.3,4,19
28.4,24.6,29.5,18.5,22.3,10.3,12,5.8,3.6,170.83,25.5,7.9,6.9,21.2,4.7,16.5,5,19
49.1,36.9,42.6,27.4,31.3,19.4,18.2,6.3,18.4,169.09,64.5,8.1,6.8,32.9,6.2,26.7,6,19
36.6,26.9,31.9,9.6,17,4.2,5.4,1.2,9.9,171.86,43.1,8,6.7,16.7,1.5,15.2,7,19
24.4,19.6,24.8,9.2,16.8,4.4,5.8,1.7,7.4,173.11,28.5,8.6,7.4,14.8,1.9,12.9,8,19
23.9,18.3,21.1,9.3,14.6,3.6,5,1.5,17.2,176.23,69.5,8,6,13.7,1.2,12.5,9,19
48.3,40.7,45.4,26.9,32.5,14.2,16.9,4.5,15,166.78,44.3,8.1,6.5,32.9,6,26.9,10,19
44.6,38.5,42.8,20.3,28.4,12.7,15.3,4.6,15.8,183.39,60.7,7.4,5.9,29,5.5,23.5,11,19
42.3,35.6,38.1,26.1,32,17.9,20.4,8,17.7,169.05,67.8,8.4,6.8,32.2,9,23.2,12,19
25.7,22.1,23.1,14.3,18,11.5,16.4,8.4,37.4,166.78,81.7,7.2,6.4,18.9,2.9,16,13,19
41.3,33.3,37,20.8,28,11.6,11.9,5.5,7.6,170.83,41.9,7.9,6.8,27.2,4.1,23.1,15,19
48,37.1,41.3,27.7,30.8,13.9,15.7,3.1,21.4,172.75,71.3,8,5.9,30.6,4.5,26.1,14,19
41,31.5,33.8,24.7,23.5,15,15,8.7,52.1,166.78,70.7,7.9,6.6,26.4,6.3,20.1,16,19
52.4,43.9,46.1,30,35.1,18.1,25.4,13.5,30.6,166.78,55.3,8.1,6.3,36.7,9.2,27.5,18,19
43.8,36,34.9,14.5,24.2,6.5,9.4,3.2,11.9,181.73,60.1,8.1,6.2,22.7,2.8,19.9,19,19
59.4,51.9,55.1,45.1,50.4,32.2,32.4,14.4,42.6,169.29,78.9,7.7,6.3,50.1,15.6,34.5,17,19
54.8,43.2,50.1,35,39.2,23.1,20.5,9.7,21.4,166.34,67.8,8.4,6.6,39,8.7,30.3,20,19
40.9,34.4,35.3,20.5,23.5,9.6,14.6,5.4,12.9,175.28,41.6,8.1,6.7,25.9,4.7,21.2,21,19
54,41.4,47,16.5,27.4,10.6,11.8,6.4,16.6,172.1,71.2,7.3,5.5,29.7,3.8,25.9,22,19
43.3,31.2,34,16.7,24,10.1,11.2,6.6,20.5,180.12,50.9,8.1,6.2,23.9,3.6,20.3,23,19
43,27.5,31.7,9.6,16.2,3.5,6.3,2.5,13.2,166.78,65.4,8,6.6,18,1.2,16.8,24,19
39.3,32.9,36.7,16.9,26.8,7.4,9.1,3.3,7.5,172.34,42.1,8.2,7,24.5,3.6,20.9,25,19
26.8,20.1,23,12.9,19.5,9,11.9,3.9,11.8,172.27,27.8,8.6,7.7,17.1,3.9,13.2,26,19
40.6,31.9,37,13.7,24.7,7.5,11.1,2.7,9.8,176.79,47.8,8.5,7,23.2,3,20.2,27,19
56.1,45.4,53.2,45.2,42.2,27.4,27.7,10.4,23.1,168.28,66.2,7.9,6.1,44.8,10.6,34.2,28,19
50.2,43.7,46.5,21.2,31.8,13.2,15.5,3.4,12.9,177.82,54.3,8.3,6.4,32.6,5.5,27.1,29,19
41.3,33.8,37.7,17.2,28,11,12.4,3.2,7.2,180.86,36.5,7.9,6.6,26.1,4.3,21.8,30,19
50.3,27.5,43.2,38.3,36,18.9,21.7,8.6,55.7,166.78,72.4,8.3,6.4,34.4,4.7,29.7,31,19
41.9,35.4,43.1,35.6,39,30.6,37.6,31.3,65.4,166.78,87.4,7.2,6.2,39.7,16.8,22.9,32,19
31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9,25.4,167.58,45.8,8.5,7.9,20.6,5.2,15.4,1,20
35.2,30,31.8,14.7,23.7,7.8,8.8,7.9,9.5,172.05,44.1,8.5,7.5,21.6,3,18.6,2,20
46.4,37.8,36.2,25.8,29.9,16.5,26,13.4,22.8,167.58,68.3,7.8,6.6,31.7,9.9,21.8,3,20
51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3,12,168.75,56.7,8.5,6.7,35.8,8.5,27.3,4,20
28.4,24.6,29.5,18.5,22.3,10.3,12,5.8,3.6,173.55,25.5,7.9,6.9,21.2,4.7,16.5,5,20
49.1,36.9,42.6,27.4,31.3,19.4,18.2,6.3,18.4,170.51,64.5,8.1,6.8,32.9,6.2,26.7,6,20
36.6,26.9,31.9,9.6,17,4.2,5.4,1.2,9.9,173.81,43.1,8,6.7,16.7,1.5,15.2,7,20
