Departamento,Año,Mes,leve_moderado,grave,moderada,inseguridad_alimentaria
Norte de Santander,2022,12,25.8,2.9,22.900000000000002,moderado
Putumayo,2022,1,24.4,3.0,21.4,moderado
Putumayo,2022,2,24.4,3.0,21.4,moderado
Putumayo,2022,3,24.4,3.0,21.4,moderado
Putumayo,2022,4,24.4,3.0,21.4,moderado
Putumayo,2022,5,24.4,3.0,21.4,moderado
Putumayo,2022,6,24.4,3.0,21.4,moderado
Putumayo,2022,7,24.4,3.0,21.4,moderado
Putumayo,2022,8,24.4,3.0,21.4,moderado
Putumayo,2022,9,24.4,3.0,21.4,moderado
Putumayo,2022,10,24.4,3.0,21.4,moderado
Putumayo,2022,11,24.4,3.0,21.4,moderado
Putumayo,2022,12,24.4,3.0,21.4,moderado
Quindío,2022,1,17.3,2.2,15.100000000000001,moderado
Quindío,2022,2,17.3,2.2,15.100000000000001,moderado
Quindío,2022,3,17.3,2.2,15.100000000000001,moderado
Quindío,2022,4,17.3,2.2,15.100000000000001,moderado
Quindío,2022,5,17.3,2.2,15.100000000000001,moderado
Quindío,2022,6,17.3,2.2,15.100000000000001,moderado
Quindío,2022,7,17.3,2.2,15.100000000000001,moderado
Quindío,2022,8,17.3,2.2,15.100000000000001,moderado
Quindío,2022,9,17.3,2.2,15.100000000000001,moderado
Quindío,2022,10,17.3,2.2,15.100000000000001,moderado
Quindío,2022,11,17.3,2.2,15.100000000000001,moderado
Quindío,2022,12,17.3,2.2,15.100000000000001,moderado
Risaralda,2022,1,17.5,2.5,15.0,moderado
Risaralda,2022,2,17.5,2.5,15.0,moderado
Risaralda,2022,3,17.5,2.5,15.0,moderado
Risaralda,2022,4,17.5,2.5,15.0,moderado
Risaralda,2022,5,17.5,2.5,15.0,moderado
Risaralda,2022,6,17.5,2.5,15.0,moderado
Risaralda,2022,7,17.5,2.5,15.0,moderado
Risaralda,2022,8,17.5,2.5,15.0,moderado
Risaralda,2022,9,17.5,2.5,15.0,moderado
Risaralda,2022,10,17.5,2.5,15.0,moderado
Risaralda,2022,11,17.5,2.5,15.0,moderado
Risaralda,2022,12,17.5,2.5,15.0,moderado
Santander,2022,1,20.5,2.5,18.0,moderado
Santander,2022,2,20.5,2.5,18.0,moderado
Santander,2022,3,20.5,2.5,18.0,moderado
Santander,2022,4,20.5,2.5,18.0,moderado
Santander,2022,5,20.5,2.5,18.0,moderado
Santander,2022,6,20.5,2.5,18.0,moderado
Santander,2022,7,20.5,2.5,18.0,moderado
Santander,2022,8,20.5,2.5,18.0,moderado
Santander,2022,9,20.5,2.5,18.0,moderado
Santander,2022,10,20.5,2.5,18.0,moderado
Santander,2022,11,20.5,2.5,18.0,moderado
Santander,2022,12,20.5,2.5,18.0,moderado
Sucre,2022,1,47.9,10.4,37.5,severo
Sucre,2022,2,47.9,10.4,37.5,severo
Sucre,2022,3,47.9,10.4,37.5,severo
Sucre,2022,4,47.9,10.4,37.5,severo
Sucre,2022,5,47.9,10.4,37.5,severo
Sucre,2022,6,47.9,10.4,37.5,severo
Sucre,2022,7,47.9,10.4,37.5,severo
Sucre,2022,8,47.9,10.4,37.5,severo
Sucre,2022,9,47.9,10.4,37.5,severo
Sucre,2022,10,47.9,10.4,37.5,severo
Sucre,2022,11,47.9,10.4,37.5,severo
Sucre,2022,12,47.9,10.4,37.5,severo
Tolima,2022,1,27.4,3.3,24.099999999999998,moderado
Tolima,2022,2,27.4,3.3,24.099999999999998,moderado
Tolima,2022,3,27.4,3.3,24.099999999999998,moderado
Tolima,2022,4,27.4,3.3,24.099999999999998,moderado
Tolima,2022,5,27.4,3.3,24.099999999999998,moderado
Tolima,2022,6,27.4,3.3,24.099999999999998,moderado
Tolima,2022,7,27.4,3.3,24.099999999999998,moderado
Tolima,2022,8,27.4,3.3,24.099999999999998,moderado
Tolima,2022,9,27.4,3.3,24.099999999999998,moderado
Tolima,2022,10,27.4,3.3,24.099999999999998,moderado
Tolima,2022,11,27.4,3.3,24.099999999999998,moderado
Tolima,2022,12,27.4,3.3,24.099999999999998,moderado
Valle,2022,1,28.0,4.5,23.5,moderado
Valle,2022,2,28.0,4.5,23.5,moderado
Valle,2022,3,28.0,4.5,23.5,moderado
