departamento,año,mes,fecha,Pobreza_monetaria,No_pobres
Tolima,2023,5,2023-05-01,54.3,45.7
Valle,2023,5,2023-05-01,36.5,63.5
Vaupes,2023,5,2023-05-01,72.4,27.6
Vichada,2023,5,2023-05-01,87.4,12.6
Amazonas,2023,6,2023-06-01,45.8,54.2
Antioquia,2023,6,2023-06-01,44.1,55.9
Arauca,2023,6,2023-06-01,68.3,31.7
Atlantico,2023,6,2023-06-01,56.7,43.3
Bogota_DC,2023,6,2023-06-01,25.5,74.5
Bolivar,2023,6,2023-06-01,64.5,35.5
Boyaca,2023,6,2023-06-01,43.1,56.9
Caldas,2023,6,2023-06-01,28.5,71.5
Caqueta,2023,6,2023-06-01,69.5,30.5
Casanare,2023,6,2023-06-01,44.3,55.7
Cauca,2023,6,2023-06-01,60.7,39.3
Cesar,2023,6,2023-06-01,67.8,32.2
Choco,2023,6,2023-06-01,81.7,18.3
Cordoba,2023,6,2023-06-01,71.3,28.7
Cundinamarca,2023,6,2023-06-01,41.9,58.1
Guainia,2023,6,2023-06-01,70.7,29.3
Guaviare,2023,6,2023-06-01,55.3,44.7
Huila,2023,6,2023-06-01,60.1,39.9
La_Guajira,2023,6,2023-06-01,78.9,21.1
Magdalena,2023,6,2023-06-01,67.8,32.2
Meta,2023,6,2023-06-01,41.6,58.4
Narino,2023,6,2023-06-01,71.2,28.8
Norte_de_Santander,2023,6,2023-06-01,50.9,49.1
Putumayo,2023,6,2023-06-01,65.4,34.6
Quindio,2023,6,2023-06-01,42.1,57.9
Risaralda,2023,6,2023-06-01,27.8,72.2
Santander,2023,6,2023-06-01,47.8,52.2
Sucre,2023,6,2023-06-01,66.2,33.8
Tolima,2023,6,2023-06-01,54.3,45.7
Valle,2023,6,2023-06-01,36.5,63.5
Vaupes,2023,6,2023-06-01,72.4,27.6
Vichada,2023,6,2023-06-01,87.4,12.6
Amazonas,2023,7,2023-07-01,45.8,54.2
Antioquia,2023,7,2023-07-01,44.1,55.9
Arauca,2023,7,2023-07-01,68.3,31.7
Atlantico,2023,7,2023-07-01,56.7,43.3
Bogota_DC,2023,7,2023-07-01,25.5,74.5
Bolivar,2023,7,2023-07-01,64.5,35.5
Boyaca,2023,7,2023-07-01,43.1,56.9
Caldas,2023,7,2023-07-01,28.5,71.5
Caqueta,2023,7,2023-07-01,69.5,30.5
Casanare,2023,7,2023-07-01,44.3,55.7
Cauca,2023,7,2023-07-01,60.7,39.3
Cesar,2023,7,2023-07-01,67.8,32.2
Choco,2023,7,2023-07-01,81.7,18.3
Cordoba,2023,7,2023-07-01,71.3,28.7
Cundinamarca,2023,7,2023-07-01,41.9,58.1
Guainia,2023,7,2023-07-01,70.7,29.3
Guaviare,2023,7,2023-07-01,55.3,44.7
Huila,2023,7,2023-07-01,60.1,39.9
La_Guajira,2023,7,2023-07-01,78.9,21.1
Magdalena,2023,7,2023-07-01,67.8,32.2
Meta,2023,7,2023-07-01,41.6,58.4
Narino,2023,7,2023-07-01,71.2,28.8
Norte_de_Santander,2023,7,2023-07-01,50.9,49.1
Putumayo,2023,7,2023-07-01,65.4,34.6
Quindio,2023,7,2023-07-01,42.1,57.9
Risaralda,2023,7,2023-07-01,27.8,72.2
Santander,2023,7,2023-07-01,47.8,52.2
Sucre,2023,7,2023-07-01,66.2,33.8
Tolima,2023,7,2023-07-01,54.3,45.7
Valle,2023,7,2023-07-01,36.5,63.5
Vaupes,2023,7,2023-07-01,72.4,27.6
Vichada,2023,7,2023-07-01,87.4,12.6
Amazonas,2023,8,2023-08-01,45.8,54.2
Antioquia,2023,8,2023-08-01,44.1,55.9
Arauca,2023,8,2023-08-01,68.3,31.7
Atlantico,2023,8,2023-08-01,56.7,43.3
Bogota_DC,2023,8,2023-08-01,25.5,74.5
Bolivar,2023,8,2023-08-01,64.5,35.5
Boyaca,2023,8,2023-08-01,43.1,56.9
Caldas,2023,8,2023-08-01,28.5,71.5
Caqueta,2023,8,2023-08-01,69.5,30.5
Casanare,2023,8,2023-08-01,44.3,55.7
Cauca,2023,8,2023-08-01,60.7,39.3
Cesar,2023,8,2023-08-01,67.8,32.2
Choco,2023,8,2023-08-01,81.7,18.3
Cordoba,2023,8,2023-08-01,71.3,28.7
Cundinamarca,2023,8,2023-08-01,41.9,58.1
Guainia,2023,8,2023-08-01,70.7,29.3
Guaviare,2023,8,2023-08-01,55.3,44.7
Huila,2023,8,2023-08-01,60.1,39.9
La_Guajira,2023,8,2023-08-01,78.9,21.1
Magdalena,2023,8,2023-08-01,67.8,32.2
Meta,2023,8,2023-08-01,41.6,58.4
Narino,2023,8,2023-08-01,71.2,28.8
Norte_de_Santander,2023,8,2023-08-01,50.9,49.1
Putumayo,2023,8,2023-08-01,65.4,34.6
Quindio,2023,8,2023-08-01,42.1,57.9
Risaralda,2023,8,2023-08-01,27.8,72.2
Santander,2023,8,2023-08-01,47.8,52.2
Sucre,2023,8,2023-08-01,66.2,33.8
Tolima,2023,8,2023-08-01,54.3,45.7
Valle,2023,8,2023-08-01,36.5,63.5
Vaupes,2023,8,2023-08-01,72.4,27.6
Vichada,2023,8,2023-08-01,87.4,12.6
Amazonas,2023,9,2023-09-01,45.8,54.2
Antioquia,2023,9,2023-09-01,44.1,55.9
Arauca,2023,9,2023-09-01,68.3,31.7
Atlantico,2023,9,2023-09-01,56.7,43.3
Bogota_DC,2023,9,2023-09-01,25.5,74.5
Bolivar,2023,9,2023-09-01,64.5,35.5
Boyaca,2023,9,2023-09-01,43.1,56.9
Caldas,2023,9,2023-09-01,28.5,71.5
Caqueta,2023,9,2023-09-01,69.5,30.5
Casanare,2023,9,2023-09-01,44.3,55.7
Cauca,2023,9,2023-09-01,60.7,39.3
Cesar,2023,9,2023-09-01,67.8,32.2
Choco,2023,9,2023-09-01,81.7,18.3
Cordoba,2023,9,2023-09-01,71.3,28.7
Cundinamarca,2023,9,2023-09-01,41.9,58.1
Guainia,2023,9,2023-09-01,70.7,29.3
Guaviare,2023,9,2023-09-01,55.3,44.7
Huila,2023,9,2023-09-01,60.1,39.9
La_Guajira,2023,9,2023-09-01,78.9,21.1
Magdalena,2023,9,2023-09-01,67.8,32.2
Meta,2023,9,2023-09-01,41.6,58.4
Narino,2023,9,2023-09-01,71.2,28.8
Norte_de_Santander,2023,9,2023-09-01,50.9,49.1
Putumayo,2023,9,2023-09-01,65.4,34.6
Quindio,2023,9,2023-09-01,42.1,57.9
Risaralda,2023,9,2023-09-01,27.8,72.2
Santander,2023,9,2023-09-01,47.8,52.2
Sucre,2023,9,2023-09-01,66.2,33.8
Tolima,2023,9,2023-09-01,54.3,45.7
Valle,2023,9,2023-09-01,36.5,63.5
Vaupes,2023,9,2023-09-01,72.4,27.6
Vichada,2023,9,2023-09-01,87.4,12.6
Amazonas,2023,10,2023-10-01,45.8,54.2
Antioquia,2023,10,2023-10-01,44.1,55.9
Arauca,2023,10,2023-10-01,68.3,31.7
Atlantico,2023,10,2023-10-01,56.7,43.3
Bogota_DC,2023,10,2023-10-01,25.5,74.5
Bolivar,2023,10,2023-10-01,64.5,35.5
Boyaca,2023,10,2023-10-01,43.1,56.9
Caldas,2023,10,2023-10-01,28.5,71.5
Caqueta,2023,10,2023-10-01,69.5,30.5
Casanare,2023,10,2023-10-01,44.3,55.7
Cauca,2023,10,2023-10-01,60.7,39.3
Cesar,2023,10,2023-10-01,67.8,32.2
Choco,2023,10,2023-10-01,81.7,18.3
Cordoba,2023,10,2023-10-01,71.3,28.7
Cundinamarca,2023,10,2023-10-01,41.9,58.1
Guainia,2023,10,2023-10-01,70.7,29.3
Guaviare,2023,10,2023-10-01,55.3,44.7
Huila,2023,10,2023-10-01,60.1,39.9
La_Guajira,2023,10,2023-10-01,78.9,21.1
Magdalena,2023,10,2023-10-01,67.8,32.2
Meta,2023,10,2023-10-01,41.6,58.4
Narino,2023,10,2023-10-01,71.2,28.8
Norte_de_Santander,2023,10,2023-10-01,50.9,49.1
Putumayo,2023,10,2023-10-01,65.4,34.6
Quindio,2023,10,2023-10-01,42.1,57.9
Risaralda,2023,10,2023-10-01,27.8,72.2
Santander,2023,10,2023-10-01,47.8,52.2
Sucre,2023,10,2023-10-01,66.2,33.8
Tolima,2023,10,2023-10-01,54.3,45.7
Valle,2023,10,2023-10-01,36.5,63.5
Vaupes,2023,10,2023-10-01,72.4,27.6
Vichada,2023,10,2023-10-01,87.4,12.6
Amazonas,2023,11,2023-11-01,45.8,54.2
Antioquia,2023,11,2023-11-01,44.1,55.9
Arauca,2023,11,2023-11-01,68.3,31.7
Atlantico,2023,11,2023-11-01,56.7,43.3
Bogota_DC,2023,11,2023-11-01,25.5,74.5
Bolivar,2023,11,2023-11-01,64.5,35.5
Boyaca,2023,11,2023-11-01,43.1,56.9
Caldas,2023,11,2023-11-01,28.5,71.5
Caqueta,2023,11,2023-11-01,69.5,30.5
Casanare,2023,11,2023-11-01,44.3,55.7
Cauca,2023,11,2023-11-01,60.7,39.3
Cesar,2023,11,2023-11-01,67.8,32.2
Choco,2023,11,2023-11-01,81.7,18.3
Cordoba,2023,11,2023-11-01,71.3,28.7
Cundinamarca,2023,11,2023-11-01,41.9,58.1
Guainia,2023,11,2023-11-01,70.7,29.3
Guaviare,2023,11,2023-11-01,55.3,44.7
Huila,2023,11,2023-11-01,60.1,39.9
La_Guajira,2023,11,2023-11-01,78.9,21.1
Magdalena,2023,11,2023-11-01,67.8,32.2
Meta,2023,11,2023-11-01,41.6,58.4
Narino,2023,11,2023-11-01,71.2,28.8
Norte_de_Santander,2023,11,2023-11-01,50.9,49.1
Putumayo,2023,11,2023-11-01,65.4,34.6
Quindio,2023,11,2023-11-01,42.1,57.9
Risaralda,2023,11,2023-11-01,27.8,72.2
Santander,2023,11,2023-11-01,47.8,52.2
Sucre,2023,11,2023-11-01,66.2,33.8
Tolima,2023,11,2023-11-01,54.3,45.7
Valle,2023,11,2023-11-01,36.5,63.5
Vaupes,2023,11,2023-11-01,72.4,27.6
Vichada,2023,11,2023-11-01,87.4,12.6
Amazonas,2023,12,2023-12-01,45.8,54.2
Antioquia,2023,12,2023-12-01,44.1,55.9
Arauca,2023,12,2023-12-01,68.3,31.7
Atlantico,2023,12,2023-12-01,56.7,43.3
Bogota_DC,2023,12,2023-12-01,25.5,74.5
Bolivar,2023,12,2023-12-01,64.5,35.5
Boyaca,2023,12,2023-12-01,43.1,56.9
Caldas,2023,12,2023-12-01,28.5,71.5
Caqueta,2023,12,2023-12-01,69.5,30.5
Casanare,2023,12,2023-12-01,44.3,55.7
Cauca,2023,12,2023-12-01,60.7,39.3
Cesar,2023,12,2023-12-01,67.8,32.2
Choco,2023,12,2023-12-01,81.7,18.3
Cordoba,2023,12,2023-12-01,71.3,28.7
Cundinamarca,2023,12,2023-12-01,41.9,58.1
Guainia,2023,12,2023-12-01,70.7,29.3
Guaviare,2023,12,2023-12-01,55.3,44.7
Huila,2023,12,2023-12-01,60.1,39.9
La_Guajira,2023,12,2023-12-01,78.9,21.1
Magdalena,2023,12,2023-12-01,67.8,32.2
Meta,2023,12,2023-12-01,41.6,58.4
Narino,2023,12,2023-12-01,71.2,28.8
Norte_de_Santander,2023,12,2023-12-01,50.9,49.1
Putumayo,2023,12,2023-12-01,65.4,34.6
Quindio,2023,12,2023-12-01,42.1,57.9
Risaralda,2023,12,2023-12-01,27.8,72.2
Santander,2023,12,2023-12-01,47.8,52.2
Sucre,2023,12,2023-12-01,66.2,33.8
Tolima,2023,12,2023-12-01,54.3,45.7
Valle,2023,12,2023-12-01,36.5,63.5
Vaupes,2023,12,2023-12-01,72.4,27.6
Vichada,2023,12,2023-12-01,87.4,12.6
Amazonas,2024,1,2024-01-01,40.6,59.4
Amazonas,2024,2,2024-01-01,40.6,59.4
Amazonas,2024,3,2024-01-01,40.6,59.4
Amazonas,2024,4,2024-01-01,40.6,59.4
Amazonas,2024,5,2024-01-01,40.6,59.4
Amazonas,2024,6,2024-01-01,40.6,59.4
Amazonas,2024,7,2024-01-01,40.6,59.4
Amazonas,2024,8,2024-01-01,40.6,59.4
Amazonas,2024,9,2024-01-01,40.6,59.4
Amazonas,2024,10,2024-01-01,40.6,59.4
Amazonas,2024,11,2024-01-01,40.6,59.4
Amazonas,2024,12,2024-01-01,40.6,59.4
Antioquia,2024,1,2024-01-01,32.6,67.4
Antioquia,2024,2,2024-01-01,32.6,67.4
Antioquia,2024,3,2024-01-01,32.6,67.4
Antioquia,2024,4,2024-01-01,32.6,67.4
Antioquia,2024,5,2024-01-01,32.6,67.4
Antioquia,2024,6,2024-01-01,32.6,67.4
Antioquia,2024,7,2024-01-01,32.6,67.4
Antioquia,2024,8,2024-01-01,32.6,67.4
Antioquia,2024,9,2024-01-01,32.6,67.4
Antioquia,2024,10,2024-01-01,32.6,67.4
Antioquia,2024,11,2024-01-01,32.6,67.4
Antioquia,2024,12,2024-01-01,32.6,67.4
Arauca,2024,1,2024-01-01,56.9,43.1
Arauca,2024,2,2024-01-01,56.9,43.1
Arauca,2024,3,2024-01-01,56.9,43.1
Arauca,2024,4,2024-01-01,56.9,43.1
Arauca,2024,5,2024-01-01,56.9,43.1
Arauca,2024,6,2024-01-01,56.9,43.1
Arauca,2024,7,2024-01-01,56.9,43.1
Arauca,2024,8,2024-01-01,56.9,43.1
Arauca,2024,9,2024-01-01,56.9,43.1
Arauca,2024,10,2024-01-01,56.9,43.1
Arauca,2024,11,2024-01-01,56.9,43.1
Arauca,2024,12,2024-01-01,56.9,43.1
Atlantico,2024,1,2024-01-01,49.9,50.1
Atlantico,2024,2,2024-01-01,49.9,50.1
Atlantico,2024,3,2024-01-01,49.9,50.1
Atlantico,2024,4,2024-01-01,49.9,50.1
Atlantico,2024,5,2024-01-01,49.9,50.1
Atlantico,2024,6,2024-01-01,49.9,50.1
Atlantico,2024,7,2024-01-01,49.9,50.1
Atlantico,2024,8,2024-01-01,49.9,50.1
Atlantico,2024,9,2024-01-01,49.9,50.1
Atlantico,2024,10,2024-01-01,49.9,50.1
Atlantico,2024,11,2024-01-01,49.9,50.1
Atlantico,2024,12,2024-01-01,49.9,50.1
Bogota_DC,2024,1,2024-01-01,17.0,83.0
Bogota_DC,2024,2,2024-01-01,17.0,83.0
Bogota_DC,2024,3,2024-01-01,17.0,83.0
Bogota_DC,2024,4,2024-01-01,17.0,83.0
Bogota_DC,2024,5,2024-01-01,17.0,83.0
Bogota_DC,2024,6,2024-01-01,17.0,83.0
Bogota_DC,2024,7,2024-01-01,17.0,83.0
Bogota_DC,2024,8,2024-01-01,17.0,83.0
Bogota_DC,2024,9,2024-01-01,17.0,83.0
Bogota_DC,2024,10,2024-01-01,17.0,83.0
Bogota_DC,2024,11,2024-01-01,17.0,83.0
Bogota_DC,2024,12,2024-01-01,17.0,83.0
Bolivar,2024,1,2024-01-01,53.8,46.2
Bolivar,2024,2,2024-01-01,53.8,46.2
Bolivar,2024,3,2024-01-01,53.8,46.2
Bolivar,2024,4,2024-01-01,53.8,46.2
Bolivar,2024,5,2024-01-01,53.8,46.2
Bolivar,2024,6,2024-01-01,53.8,46.2
Bolivar,2024,7,2024-01-01,53.8,46.2
Bolivar,2024,8,2024-01-01,53.8,46.2
Bolivar,2024,9,2024-01-01,53.8,46.2
Bolivar,2024,10,2024-01-01,53.8,46.2
Bolivar,2024,11,2024-01-01,53.8,46.2
Bolivar,2024,12,2024-01-01,53.8,46.2
Boyaca,2024,1,2024-01-01,31.1,68.9
Boyaca,2024,2,2024-01-01,31.1,68.9
Boyaca,2024,3,2024-01-01,31.1,68.9
Boyaca,2024,4,2024-01-01,31.1,68.9
Boyaca,2024,5,2024-01-01,31.1,68.9
Boyaca,2024,6,2024-01-01,31.1,68.9
Boyaca,2024,7,2024-01-01,31.1,68.9
Boyaca,2024,8,2024-01-01,31.1,68.9
Boyaca,2024,9,2024-01-01,31.1,68.9
Boyaca,2024,10,2024-01-01,31.1,68.9
Boyaca,2024,11,2024-01-01,31.1,68.9
Boyaca,2024,12,2024-01-01,31.1,68.9
Caldas,2024,1,2024-01-01,29.7,70.3
Caldas,2024,2,2024-01-01,29.7,70.3
Caldas,2024,3,2024-01-01,29.7,70.3
Caldas,2024,4,2024-01-01,29.7,70.3
Caldas,2024,5,2024-01-01,29.7,70.3
Caldas,2024,6,2024-01-01,29.7,70.3
Caldas,2024,7,2024-01-01,29.7,70.3
Caldas,2024,8,2024-01-01,29.7,70.3
Caldas,2024,9,2024-01-01,29.7,70.3
Caldas,2024,10,2024-01-01,29.7,70.3
Caldas,2024,11,2024-01-01,29.7,70.3
Caldas,2024,12,2024-01-01,29.7,70.3
Caqueta,2024,1,2024-01-01,70.2,29.8
Caqueta,2024,2,2024-01-01,70.2,29.8
Caqueta,2024,3,2024-01-01,70.2,29.8
Caqueta,2024,4,2024-01-01,70.2,29.8
Caqueta,2024,5,2024-01-01,70.2,29.8
Caqueta,2024,6,2024-01-01,70.2,29.8
Caqueta,2024,7,2024-01-01,70.2,29.8
Caqueta,2024,8,2024-01-01,70.2,29.8
Caqueta,2024,9,2024-01-01,70.2,29.8
Caqueta,2024,10,2024-01-01,70.2,29.8
Caqueta,2024,11,2024-01-01,70.2,29.8
Caqueta,2024,12,2024-01-01,70.2,29.8
Casanare,2024,1,2024-01-01,51.7,48.3
Casanare,2024,2,2024-01-01,51.7,48.3
Casanare,2024,3,2024-01-01,51.7,48.3
Casanare,2024,4,2024-01-01,51.7,48.3
Casanare,2024,5,2024-01-01,51.7,48.3
Casanare,2024,6,2024-01-01,51.7,48.3
Casanare,2024,7,2024-01-01,51.7,48.3
Casanare,2024,8,2024-01-01,51.7,48.3
Casanare,2024,9,2024-01-01,51.7,48.3
Casanare,2024,10,2024-01-01,51.7,48.3
Casanare,2024,11,2024-01-01,51.7,48.3
Casanare,2024,12,2024-01-01,51.7,48.3
Cauca,2024,1,2024-01-01,57.2,42.8
Cauca,2024,2,2024-01-01,57.2,42.8
Cauca,2024,3,2024-01-01,57.2,42.8
Cauca,2024,4,2024-01-01,57.2,42.8
Cauca,2024,5,2024-01-01,57.2,42.8
Cauca,2024,6,2024-01-01,57.2,42.8
Cauca,2024,7,2024-01-01,57.2,42.8
Cauca,2024,8,2024-01-01,57.2,42.8
Cauca,2024,9,2024-01-01,57.2,42.8
Cauca,2024,10,2024-01-01,57.2,42.8
Cauca,2024,11,2024-01-01,57.2,42.8
Cauca,2024,12,2024-01-01,57.2,42.8
Cesar,2024,1,2024-01-01,60.3,39.7
Cesar,2024,2,2024-01-01,60.3,39.7
Cesar,2024,3,2024-01-01,60.3,39.7
Cesar,2024,4,2024-01-01,60.3,39.7
Cesar,2024,5,2024-01-01,60.3,39.7
Cesar,2024,6,2024-01-01,60.3,39.7
Cesar,2024,7,2024-01-01,60.3,39.7
Cesar,2024,8,2024-01-01,60.3,39.7
Cesar,2024,9,2024-01-01,60.3,39.7
Cesar,2024,10,2024-01-01,60.3,39.7
Cesar,2024,11,2024-01-01,60.3,39.7
Cesar,2024,12,2024-01-01,60.3,39.7
Choco,2024,1,2024-01-01,87.0,13.0
Choco,2024,2,2024-01-01,87.0,13.0
Choco,2024,3,2024-01-01,87.0,13.0
Choco,2024,4,2024-01-01,87.0,13.0
Choco,2024,5,2024-01-01,87.0,13.0
Choco,2024,6,2024-01-01,87.0,13.0
Choco,2024,7,2024-01-01,87.0,13.0
Choco,2024,8,2024-01-01,87.0,13.0
Choco,2024,9,2024-01-01,87.0,13.0
Choco,2024,10,2024-01-01,87.0,13.0
Choco,2024,11,2024-01-01,87.0,13.0
Choco,2024,12,2024-01-01,87.0,13.0
Cordoba,2024,1,2024-01-01,73.4,26.6
Cordoba,2024,2,2024-01-01,73.4,26.6
Cordoba,2024,3,2024-01-01,73.4,26.6
Cordoba,2024,4,2024-01-01,73.4,26.6
Cordoba,2024,5,2024-01-01,73.4,26.6
Cordoba,2024,6,2024-01-01,73.4,26.6
Cordoba,2024,7,2024-01-01,73.4,26.6
Cordoba,2024,8,2024-01-01,73.4,26.6
Cordoba,2024,9,2024-01-01,73.4,26.6
Cordoba,2024,10,2024-01-01,73.4,26.6
Cordoba,2024,11,2024-01-01,73.4,26.6
Cordoba,2024,12,2024-01-01,73.4,26.6
Cundinamarca,2024,1,2024-01-01,31.2,68.8
Cundinamarca,2024,2,2024-01-01,31.2,68.8
Cundinamarca,2024,3,2024-01-01,31.2,68.8
Cundinamarca,2024,4,2024-01-01,31.2,68.8
Cundinamarca,2024,5,2024-01-01,31.2,68.8
Cundinamarca,2024,6,2024-01-01,31.2,68.8
Cundinamarca,2024,7,2024-01-01,31.2,68.8
Cundinamarca,2024,8,2024-01-01,31.2,68.8
Cundinamarca,2024,9,2024-01-01,31.2,68.8
Cundinamarca,2024,10,2024-01-01,31.2,68.8
Cundinamarca,2024,11,2024-01-01,31.2,68.8
Cundinamarca,2024,12,2024-01-01,31.2,68.8
Guainia,2024,1,2024-01-01,72.0,28.0
Guainia,2024,2,2024-01-01,72.0,28.0
Guainia,2024,3,2024-01-01,72.0,28.0
Guainia,2024,4,2024-01-01,72.0,28.0
Guainia,2024,5,2024-01-01,72.0,28.0
Guainia,2024,6,2024-01-01,72.0,28.0
Guainia,2024,7,2024-01-01,72.0,28.0
Guainia,2024,8,2024-01-01,72.0,28.0
Guainia,2024,9,2024-01-01,72.0,28.0
Guainia,2024,10,2024-01-01,72.0,28.0
Guainia,2024,11,2024-01-01,72.0,28.0
Guainia,2024,12,2024-01-01,72.0,28.0
Guaviare,2024,1,2024-01-01,56.9,43.1
Guaviare,2024,2,2024-01-01,56.9,43.1
Guaviare,2024,3,2024-01-01,56.9,43.1
Guaviare,2024,4,2024-01-01,56.9,43.1
Guaviare,2024,5,2024-01-01,56.9,43.1
Guaviare,2024,6,2024-01-01,56.9,43.1
Guaviare,2024,7,2024-01-01,56.9,43.1
Guaviare,2024,8,2024-01-01,56.9,43.1
Guaviare,2024,9,2024-01-01,56.9,43.1
Guaviare,2024,10,2024-01-01,56.9,43.1
Guaviare,2024,11,2024-01-01,56.9,43.1
Guaviare,2024,12,2024-01-01,56.9,43.1
Huila,2024,1,2024-01-01,48.7,51.3
Huila,2024,2,2024-01-01,48.7,51.3
Huila,2024,3,2024-01-01,48.7,51.3
Huila,2024,4,2024-01-01,48.7,51.3
Huila,2024,5,2024-01-01,48.7,51.3
Huila,2024,6,2024-01-01,48.7,51.3
Huila,2024,7,2024-01-01,48.7,51.3
Huila,2024,8,2024-01-01,48.7,51.3
Huila,2024,9,2024-01-01,48.7,51.3
Huila,2024,10,2024-01-01,48.7,51.3
Huila,2024,11,2024-01-01,48.7,51.3
Huila,2024,12,2024-01-01,48.7,51.3
La_Guajira,2024,1,2024-01-01,72.3,27.7
La_Guajira,2024,2,2024-01-01,72.3,27.7
La_Guajira,2024,3,2024-01-01,72.3,27.7
La_Guajira,2024,4,2024-01-01,72.3,27.7
La_Guajira,2024,5,2024-01-01,72.3,27.7
La_Guajira,2024,6,2024-01-01,72.3,27.7
La_Guajira,2024,7,2024-01-01,72.3,27.7
La_Guajira,2024,8,2024-01-01,72.3,27.7
La_Guajira,2024,9,2024-01-01,72.3,27.7
La_Guajira,2024,10,2024-01-01,72.3,27.7
La_Guajira,2024,11,2024-01-01,72.3,27.7
La_Guajira,2024,12,2024-01-01,72.3,27.7
Magdalena,2024,1,2024-01-01,63.5,36.5
Magdalena,2024,2,2024-01-01,63.5,36.5
Magdalena,2024,3,2024-01-01,63.5,36.5
Magdalena,2024,4,2024-01-01,63.5,36.5
Magdalena,2024,5,2024-01-01,63.5,36.5
Magdalena,2024,6,2024-01-01,63.5,36.5
Magdalena,2024,7,2024-01-01,63.5,36.5
Magdalena,2024,8,2024-01-01,63.5,36.5
Magdalena,2024,9,2024-01-01,63.5,36.5
Magdalena,2024,10,2024-01-01,63.5,36.5
Magdalena,2024,11,2024-01-01,63.5,36.5
Magdalena,2024,12,2024-01-01,63.5,36.5
Meta,2024,1,2024-01-01,20.6,79.4
Meta,2024,2,2024-01-01,20.6,79.4
Meta,2024,3,2024-01-01,20.6,79.4
Meta,2024,4,2024-01-01,20.6,79.4
Meta,2024,5,2024-01-01,20.6,79.4
Meta,2024,6,2024-01-01,20.6,79.4
Meta,2024,7,2024-01-01,20.6,79.4
Meta,2024,8,2024-01-01,20.6,79.4
Meta,2024,9,2024-01-01,20.6,79.4
Meta,2024,10,2024-01-01,20.6,79.4
Meta,2024,11,2024-01-01,20.6,79.4
Meta,2024,12,2024-01-01,20.6,79.4
Narino,2024,1,2024-01-01,66.9,33.1
Narino,2024,2,2024-01-01,66.9,33.1
Narino,2024,3,2024-01-01,66.9,33.1
Narino,2024,4,2024-01-01,66.9,33.1
Narino,2024,5,2024-01-01,66.9,33.1
Narino,2024,6,2024-01-01,66.9,33.1
Narino,2024,7,2024-01-01,66.9,33.1
Narino,2024,8,2024-01-01,66.9,33.1
Narino,2024,9,2024-01-01,66.9,33.1
Narino,2024,10,2024-01-01,66.9,33.1
Narino,2024,11,2024-01-01,66.9,33.1
Narino,2024,12,2024-01-01,66.9,33.1
Norte_de_Santander,2024,1,2024-01-01,44.8,55.2
Norte_de_Santander,2024,2,2024-01-01,44.8,55.2
Norte_de_Santander,2024,3,2024-01-01,44.8,55.2
Norte_de_Santander,2024,4,2024-01-01,44.8,55.2
Norte_de_Santander,2024,5,2024-01-01,44.8,55.2
Norte_de_Santander,2024,6,2024-01-01,44.8,55.2
Norte_de_Santander,2024,7,2024-01-01,44.8,55.2
Norte_de_Santander,2024,8,2024-01-01,44.8,55.2
Norte_de_Santander,2024,9,2024-01-01,44.8,55.2
Norte_de_Santander,2024,10,2024-01-01,44.8,55.2
Norte_de_Santander,2024,11,2024-01-01,44.8,55.2
Norte_de_Santander,2024,12,2024-01-01,44.8,55.2
Putumayo,2024,1,2024-01-01,69.5,30.5
Putumayo,2024,2,2024-01-01,69.5,30.5
Putumayo,2024,3,2024-01-01,69.5,30.5
Putumayo,2024,4,2024-01-01,69.5,30.5
Putumayo,2024,5,2024-01-01,69.5,30.5
Putumayo,2024,6,2024-01-01,69.5,30.5
Putumayo,2024,7,2024-01-01,69.5,30.5
Putumayo,2024,8,2024-01-01,69.5,30.5
Putumayo,2024,9,2024-01-01,69.5,30.5
Putumayo,2024,10,2024-01-01,69.5,30.5
Putumayo,2024,11,2024-01-01,69.5,30.5
Putumayo,2024,12,2024-01-01,69.5,30.5
Quindio,2024,1,2024-01-01,42.9,57.1
Quindio,2024,2,2024-01-01,42.9,57.1
Quindio,2024,3,2024-01-01,42.9,57.1
Quindio,2024,4,2024-01-01,42.9,57.1
Quindio,2024,5,2024-01-01,42.9,57.1
Quindio,2024,6,2024-01-01,42.9,57.1
Quindio,2024,7,2024-01-01,42.9,57.1
Quindio,2024,8,2024-01-01,42.9,57.1
Quindio,2024,9,2024-01-01,42.9,57.1
Quindio,2024,10,2024-01-01,42.9,57.1
Quindio,2024,11,2024-01-01,42.9,57.1
Quindio,2024,12,2024-01-01,42.9,57.1
Risaralda,2024,1,2024-01-01,28.5,71.5
Risaralda,2024,2,2024-01-01,28.5,71.5
Risaralda,2024,3,2024-01-01,28.5,71.5
Risaralda,2024,4,2024-01-01,28.5,71.5
Risaralda,2024,5,2024-01-01,28.5,71.5
Risaralda,2024,6,2024-01-01,28.5,71.5
Risaralda,2024,7,2024-01-01,28.5,71.5
Risaralda,2024,8,2024-01-01,28.5,71.5
Risaralda,2024,9,2024-01-01,28.5,71.5
Risaralda,2024,10,2024-01-01,28.5,71.5
Risaralda,2024,11,2024-01-01,28.5,71.5
Risaralda,2024,12,2024-01-01,28.5,71.5
Santander,2024,1,2024-01-01,30.0,70.0
Santander,2024,2,2024-01-01,30.0,70.0
Santander,2024,3,2024-01-01,30.0,70.0
Santander,2024,4,2024-01-01,30.0,70.0
