departamento,fecha,precipitacion_media
Cundinamarca,2022-01-08,0.2485894732873284
Guainia,2022-01-08,0.0
Guajira,2022-01-08,0.0762331477475951
Guaviare,2022-01-08,0.0276620362549523
Huila,2022-01-08,0.0
Magdalena,2022-01-08,0.3093708314650634
Meta,2022-01-08,0.4440186487508482
Narino,2022-01-08,0.3812274754053527
Norte De Santander,2022-01-08,3.172271604176054
Putumayo,2022-01-08,0.0
Quindio,2022-01-08,0.0
Risaralda,2022-01-08,0.2829260521458608
Santander,2022-01-08,1.3397118224848024
Sucre,2022-01-08,0.7453459587085011
Tolima,2022-01-08,0.0086339225304164
Valle Del Cauca,2022-01-08,1.3725346672074925
Vaupes,2022-01-08,0.1544268161837111
Vichada,2022-01-08,0.0571172189268455
Amazonas,2022-01-09,0.8169867531934588
Antioquia,2022-01-09,1.9046172553169576
Arauca,2022-01-09,0.0
Atlantico,2022-01-09,0.0069805112671015
Bogotá,2022-01-09,0.0
Bolivar,2022-01-09,1.8014904560172529
Boyaca,2022-01-09,0.0122250175061499
Caldas,2022-01-09,1.057112056437456
Caqueta,2022-01-09,0.0057272987726259
Casanare,2022-01-09,0.0026306074012724
Cauca,2022-01-09,7.132571471582797
Cesar,2022-01-09,0.075679189689752
Choco,2022-01-09,5.1495782329265305
Cordoba,2022-01-09,0.2280813329846003
Cundinamarca,2022-01-09,0.0
Guainia,2022-01-09,0.0
Guajira,2022-01-09,0.0704380205270576
Guaviare,2022-01-09,0.0
Huila,2022-01-09,0.0
Magdalena,2022-01-09,0.0
Meta,2022-01-09,0.0021011787339153
Narino,2022-01-09,2.57377153541174
Norte De Santander,2022-01-09,0.0
Putumayo,2022-01-09,0.0
Quindio,2022-01-09,0.007172146123908
Risaralda,2022-01-09,0.9230451449106076
Santander,2022-01-09,0.2898519725159051
Sucre,2022-01-09,0.3408757596344584
Tolima,2022-01-09,0.0
Valle Del Cauca,2022-01-09,2.453863870914996
Vaupes,2022-01-09,0.0
Vichada,2022-01-09,0.0
Amazonas,2022-01-10,0.7058205189807983
Antioquia,2022-01-10,5.3360716564145125
Arauca,2022-01-10,0.0
Atlantico,2022-01-10,0.0
Bogotá,2022-01-10,2.282643005745947
Bolivar,2022-01-10,0.1836764668080258
Boyaca,2022-01-10,2.7491091692629297
Caldas,2022-01-10,0.0
Caqueta,2022-01-10,0.0
Casanare,2022-01-10,0.1132523887068009
Cauca,2022-01-10,0.4148635217070042
Cesar,2022-01-10,0.1905625796804691
Choco,2022-01-10,23.03123253729195
Cordoba,2022-01-10,0.3779609921857872
Cundinamarca,2022-01-10,2.282643005745947
Guainia,2022-01-10,0.0
Guajira,2022-01-10,0.0
Guaviare,2022-01-10,0.0
Huila,2022-01-10,0.2733871877655206
Magdalena,2022-01-10,0.0479823045045163
Meta,2022-01-10,0.2373387387185186
Narino,2022-01-10,0.9631104014581566
Norte De Santander,2022-01-10,0.0450760383921616
Putumayo,2022-01-10,3.64806261692198
Quindio,2022-01-10,0.0201249556526604
Risaralda,2022-01-10,0.0
Santander,2022-01-10,1.2781855204553771
Sucre,2022-01-10,0.3283160784835612
Tolima,2022-01-10,0.0856521986614604
Valle Del Cauca,2022-01-10,0.4177651184917261
Vaupes,2022-01-10,0.0
Vichada,2022-01-10,0.0
Amazonas,2022-01-11,0.046684126226174
Antioquia,2022-01-11,0.1996256168550137
Arauca,2022-01-11,0.0
Atlantico,2022-01-11,0.0
Bogotá,2022-01-11,0.2039202594236646
Bolivar,2022-01-11,0.0
Boyaca,2022-01-11,0.0
Caldas,2022-01-11,2.206959968192
Caqueta,2022-01-11,0.0233110296354591
Casanare,2022-01-11,0.0
Cauca,2022-01-11,1.7962787093910622
Cesar,2022-01-11,0.1187007480024606
Choco,2022-01-11,0.0253000483202904
Cordoba,2022-01-11,0.0033262952942934
Cundinamarca,2022-01-11,0.2039202594236646
Guainia,2022-01-11,0.0
Guajira,2022-01-11,0.1559739031944898
Guaviare,2022-01-11,0.0
Huila,2022-01-11,3.3298742542117545
Magdalena,2022-01-11,0.2203518183524965
Meta,2022-01-11,0.3680543650626807
Narino,2022-01-11,0.3520702488741119
Norte De Santander,2022-01-11,0.0062063573164411
Putumayo,2022-01-11,0.0
Quindio,2022-01-11,4.484217351004086
Risaralda,2022-01-11,2.9443514493599623
Santander,2022-01-11,0.0236879201341712
Sucre,2022-01-11,0.0081141286921852
Tolima,2022-01-11,6.210710263112125
Valle Del Cauca,2022-01-11,1.869359621803614
Vaupes,2022-01-11,0.0
Vichada,2022-01-11,0.0
Amazonas,2022-01-12,0.0
Antioquia,2022-01-12,0.0
Arauca,2022-01-12,0.0021838612351663
Atlantico,2022-01-12,0.0
Bogotá,2022-01-12,0.0086718669671541
Bolivar,2022-01-12,0.0
Boyaca,2022-01-12,0.0
Caldas,2022-01-12,0.0
Caqueta,2022-01-12,0.024314320954807
Casanare,2022-01-12,0.0
Cauca,2022-01-12,0.0
Cesar,2022-01-12,0.0
Choco,2022-01-12,0.0
Cordoba,2022-01-12,0.0
Cundinamarca,2022-01-12,0.0086718669671541
Guainia,2022-01-12,0.0
Guajira,2022-01-12,0.2522765410280753
Guaviare,2022-01-12,0.0
Huila,2022-01-12,0.0
Magdalena,2022-01-12,0.0
Meta,2022-01-12,0.0059579186760804
Narino,2022-01-12,0.0
Norte De Santander,2022-01-12,0.0017090046535565
Putumayo,2022-01-12,0.0
Quindio,2022-01-12,0.007405938579233
Risaralda,2022-01-12,0.0
Santander,2022-01-12,0.0097968455611957
Sucre,2022-01-12,0.003338646564224
Tolima,2022-01-12,0.0040357121203286
Valle Del Cauca,2022-01-12,0.0
Vaupes,2022-01-12,0.0
Vichada,2022-01-12,0.0
Amazonas,2022-01-13,6.786139268398391
Antioquia,2022-01-13,0.3057493319470941
Arauca,2022-01-13,0.0
Atlantico,2022-01-13,0.0
Bogotá,2022-01-13,0.3383025703385875
Bolivar,2022-01-13,1.29597550559848
Boyaca,2022-01-13,1.1447367795471988
Caldas,2022-01-13,0.0
Caqueta,2022-01-13,0.406437234026974
Casanare,2022-01-13,0.3056367239305786
Cauca,2022-01-13,0.8562522691810542
Cesar,2022-01-13,0.1951782575692655
Choco,2022-01-13,0.005353550951825
Cordoba,2022-01-13,0.2309658475259566
Cundinamarca,2022-01-13,0.3383025703385875
Guainia,2022-01-13,0.1520109626520886
Guajira,2022-01-13,0.0
Guaviare,2022-01-13,0.0043195691917112
Huila,2022-01-13,10.71879886870625
Magdalena,2022-01-13,0.5923253352336121
Meta,2022-01-13,0.2636178461288882
Narino,2022-01-13,2.3882781947003826
Norte De Santander,2022-01-13,0.9861396410807494
Putumayo,2022-01-13,11.522798519808092
Quindio,2022-01-13,0.0
Risaralda,2022-01-13,0.0
Santander,2022-01-13,0.6170430242225603
Sucre,2022-01-13,0.3253711138984102
Tolima,2022-01-13,0.2241177309370719
Valle Del Cauca,2022-01-13,0.0001255992837616
Vaupes,2022-01-13,0.1707714027576947
Vichada,2022-01-13,0.0
Amazonas,2022-01-14,1.9490051156341088
Antioquia,2022-01-14,0.7743059584417007
Arauca,2022-01-14,0.0
Atlantico,2022-01-14,0.023249032973313
Bogotá,2022-01-14,2.911315659365153
Bolivar,2022-01-14,0.380310414193823
Boyaca,2022-01-14,0.8595255541232857
Caldas,2022-01-14,2.033973668930032
Caqueta,2022-01-14,13.016771559027184
Casanare,2022-01-14,2.5507850098892194e-05
Cauca,2022-01-14,4.185164164267992
Cesar,2022-01-14,2.5678251069518927
Choco,2022-01-14,0.0
Cordoba,2022-01-14,0.0101991909713988
Cundinamarca,2022-01-14,2.911315659365153
Guainia,2022-01-14,0.1704026159235592
Guajira,2022-01-14,1.1082589348470804
Guaviare,2022-01-14,0.019031267488711
Huila,2022-01-14,21.94981026954901
Magdalena,2022-01-14,0.4480987767959353
Meta,2022-01-14,0.0763192544667552
Narino,2022-01-14,1.8285210150878368
Norte De Santander,2022-01-14,6.08833847715813
Putumayo,2022-01-14,36.41425567772885
Quindio,2022-01-14,0.008503745996283
Risaralda,2022-01-14,0.0
