departamento,año,mes,fecha,Deficit_cuantitativo,Deficit_cualitativo,Deficit_habitacional
Tolima,2023,2,2023-02-01,5.2,21.5,26.8
Valle,2023,2,2023-02-01,3.9,11.5,15.4
Vaupes,2023,2,2023-02-01,84.3,6.3,90.6
Vichada,2023,2,2023-02-01,43.1,49.1,92.2
Amazonas,2023,3,2023-03-01,50.7,31.5,82.2
Antioquia,2023,3,2023-03-01,3.9,19.4,23.3
Arauca,2023,3,2023-03-01,30.1,20.8,50.9
Atlantico,2023,3,2023-03-01,3.1,26.0,29.0
Bogota_DC,2023,3,2023-03-01,0.7,10.4,11.1
Bolivar,2023,3,2023-03-01,13.1,47.6,60.7
Boyaca,2023,3,2023-03-01,1.8,18.3,20.1
Caldas,2023,3,2023-03-01,2.9,16.7,19.7
Caqueta,2023,3,2023-03-01,22.3,18.3,40.6
Casanare,2023,3,2023-03-01,6.1,23.9,30.0
Cauca,2023,3,2023-03-01,9.0,35.1,44.2
Cesar,2023,3,2023-03-01,9.1,35.9,45.0
Choco,2023,3,2023-03-01,46.9,41.5,88.4
Cordoba,2023,3,2023-03-01,19.6,36.5,56.1
