Cundinamarca,974,968,"99,3",673,"69,0",892,"91,5",752,"77,2",807,"82,8",192,"19,7",4,"0,4",1.054,1.051,"99,7",693,"65,7",946,"89,7",786,"74,5",896,"85,0",149,"14,1",2,"0,2",1.100,1.095,"99,5",788,"71,6",1.056,"96,0",847,"77,0",947,"86,1",144,"13,1",2,"0,2",1.190,1.179,"99,1",891,"74,9",1.106,"93,0",940,"79,0",1.051,"88,4",167,"14,0",8,"0,7",1.244,1.241,"99,7",963,"77,4",1.198,"96,2",996,"80,0",1.084,"87,1",148,"11,9",2,"0,1",1.299,1.297,"99,8",1.048,"80,7",1.262,"97,1",1.042,"80,2",1.153,"88,7",148,"11,4",1,"0,0",1.355,1.350,"99,7",1.082,"79,8",1.316,"97,1",1.104,"81,5",1.194,"88,1"
Chocó,165,133,"80,4",1,"0,7",56,"33,9",28,"17,1",76,"46,3",7,"4,3",26,"15,7",170,163,"95,9",2,"1,2",60,"35,1",36,"21,4",88,"51,8",6,"3,3",7,"3,9",182,164,"89,9",0,"0,0",51,"27,8",26,"14,3",87,"47,6",2,"1,2",18,"9,8",172,140,"81,8",0,"0,0",47,"27,6",24,"13,9",79,"45,8",3,"1,7",30,"17,7",176,161,"91,4",0,"0,0",72,"41,1",38,"21,8",90,"50,9",3,"1,7",14,"8,1",181,173,"95,5",0,"0,0",51,"28,4",29,"16,2",89,"49,5",1,"0,6",8,"4,4",185,179,"96,6",0,"0,0",77,"41,6",31,"16,7",102,"55,0"
Guainía,13,8,"66,3",0,"0,0",3,"23,5",3,"25,1",5,"37,9",0,"0,4",4,"28,9",14,10,"70,2",0,"0,0",3,"21,1",4,"25,4",5,"38,3",0,"0,3",4,"29,0",16,10,"61,6",0,"0,0",3,"19,5",4,"24,1",6,"35,7",0,"0,1",5,"35,0",15,10,"65,0",0,"0,0",3,"22,9",3,"19,4",5,"32,2",0,"0,2",5,"32,3",15,12,"76,5",0,"0,0",4,"24,4",4,"26,5",6,"37,6",0,"0,1",3,"22,1",15,12,"82,6",0,"0,0",5,"35,1",4,"29,3",5,"34,1",0,"0,2",2,"15,6",17,14,"80,1",0,"0,0",4,"21,7",4,"21,9",5,"28,1"
Guaviare,28,23,"83,4",5,"17,0",12,"42,5",12,"41,0",17,"60,6",0,"0,8",4,"15,0",31,26,"85,8",5,"15,1",12,"39,7",12,"40,8",18,"57,9",1,"1,7",4,"12,8",30,27,"89,7",5,"16,1",13,"43,9",13,"43,8",19,"63,1",0,"0,8",3,"9,6",31,26,"86,3",5,"17,7",14,"46,0",13,"44,0",18,"60,5",0,"0,3",4,"12,6",32,30,"93,0",5,"15,9",16,"50,9",15,"47,3",19,"60,4",0,"0,3",2,"6,4",30,28,"94,5",6,"19,0",18,"59,1",15,"51,3",20,"67,4",0,"0,1",1,"4,5",35,34,"96,8",8,"24,0",19,"54,2",17,"48,5",21,"61,1"
Huila,349,346,"99,1",229,"65,5",296,"84,8",240,"68,8",244,"69,7",58,"16,6",2,"0,6",351,347,"99,0",229,"65,2",303,"86,5",233,"66,5",248,"70,8",50,"14,3",2,"0,5",351,348,"99,1",247,"70,4",323,"92,0",249,"70,7",253,"71,9",45,"12,7",1,"0,3",366,362,"99,0",245,"67,0",312,"85,4",250,"68,4",254,"69,4",48,"13,2",2,"0,6",374,373,"99,6",246,"65,8",329,"87,8",252,"67,4",259,"69,2",28,"7,4",1,"0,3",382,380,"99,4",261,"68,4",344,"90,0",260,"68,1",265,"69,2",36,"9,3",1,"0,3",390,389,"99,7",277,"71,1",358,"91,7",264,"67,6",273,"70,0"
La Guajira,258,167,"64,7",91,"35,4",133,"51,4",95,"36,6",117,"45,2",8,"2,9",84,"32,6",282,185,"65,6",113,"40,1",143,"50,8",115,"40,9",139,"49,4",12,"4,1",91,"32,3",296,201,"67,8",111,"37,5",153,"51,6",127,"42,8",150,"50,8",5,"1,6",92,"31,1",295,179,"60,7",110,"37,3",138,"46,8",125,"42,2",150,"50,8",4,"1,5",115,"39,0",307,210,"68,4",125,"40,7",153,"49,7",128,"41,6",164,"53,4",6,"2,0",96,"31,4",318,220,"69,1",135,"42,5",174,"54,6",139,"43,6",163,"51,1",4,"1,3",95,"29,9",329,233,"70,6",146,"44,2",174,"52,8",156,"47,3",178,"53,9"
Magdalena,366,350,"95,5",222,"60,7",290,"79,1",177,"48,3",275,"75,2",48,"13,0",16,"4,3",396,388,"98,0",230,"58,2",312,"78,7",188,"47,4",289,"72,9",41,"10,3",7,"1,9",404,394,"97,5",240,"59,4",327,"80,9",205,"50,9",298,"73,9",48,"11,8",9,"2,3",411,396,"96,3",277,"67,3",343,"83,3",220,"53,6",302,"73,4",23,"5,7",14,"3,5",422,416,"98,7",279,"66,3",360,"85,4",217,"51,5",319,"75,7",14,"3,4",4,"1,0",432,431,"99,8",288,"66,8",378,"87,6",234,"54,1",339,"78,4",23,"5,3",1,"0,2",442,437,"99,1",311,"70,4",390,"88,3",252,"57,0",325,"73,6"
Meta,344,335,"97,4",225,"65,3",269,"78,1",270,"78,6",286,"83,1",47,"13,5",8,"2,3",354,340,"96,2",231,"65,4",278,"78,6",264,"74,6",288,"81,4",38,"10,8",8,"2,3",364,357,"98,2",237,"65,3",299,"82,3",284,"78,1",301,"82,8",45,"12,4",6,"1,5",370,358,"96,8",248,"67,1",306,"82,8",290,"78,5",315,"85,2",49,"13,2",11,"2,9",378,373,"98,6",260,"68,7",313,"82,8",293,"77,4",324,"85,6",20,"5,2",5,"1,3",386,380,"98,4",270,"69,8",324,"83,8",301,"77,8",332,"85,9",22,"5,6",4,"1,2",395,391,"98,9",280,"70,9",332,"84,0",315,"79,9",339,"85,9"
Nariño,510,501,"98,2",23,"4,6",388,"76,0",200,"39,1",258,"50,5",37,"7,2",7,"1,4",538,530,"98,6",31,"5,8",393,"73,0",228,"42,4",285,"53,0",36,"6,7",6,"1,0",534,524,"98,2",28,"5,2",419,"78,4",243,"45,5",315,"59,0",34,"6,4",8,"1,5",577,563,"97,6",38,"6,6",408,"70,6",249,"43,2",327,"56,7",32,"5,6",12,"2,2",588,585,"99,5",47,"7,9",427,"72,6",262,"44,5",321,"54,5",36,"6,0",2,"0,3",600,587,"97,9",82,"13,7",447,"74,5",260,"43,4",353,"58,8",24,"3,9",12,"2,0",611,610,"99,9",83,"13,6",464,"76,0",255,"41,8",333,"54,5"
Norte de Santander,460,451,"98,1",224,"48,6",397,"86,2",366,"79,5",386,"83,9",72,"15,6",7,"1,5",476,473,"99,4",220,"46,3",400,"84,1",374,"78,5",400,"84,0",87,"18,2",2,"0,4",508,503,"99,2",226,"44,5",440,"86,6",397,"78,2",425,"83,7",79,"15,5",2,"0,4",494,490,"99,2",256,"51,9",424,"86,0",399,"80,9",418,"84,6",65,"13,2",3,"0,6",504,500,"99,3",306,"60,9",434,"86,2",420,"83,5",429,"85,2",45,"9,0",3,"0,5",514,511,"99,5",315,"61,3",448,"87,2",432,"84,0",441,"85,9",42,"8,2",2,"0,4",524,523,"99,8",311,"59,4",459,"87,6",437,"83,4",448,"85,5"
Putumayo,117,99,"84,4",14,"11,8",58,"49,2",60,"50,9",65,"55,3",2,"1,6",15,"12,9",125,110,"87,9",18,"14,2",60,"48,1",61,"48,4",71,"57,0",2,"1,3",13,"10,5",125,109,"87,3",19,"15,0",72,"57,7",67,"53,4",75,"59,8",1,"0,7",14,"11,6",146,116,"79,9",18,"12,6",67,"45,9",75,"51,6",88,"60,4",1,"0,7",29,"19,8",151,132,"87,9",20,"13,2",82,"54,4",82,"54,6",96,"63,7",1,"0,5",16,"10,5",156,147,"94,5",27,"17,1",85,"54,5",86,"55,3",98,"63,2",0,"0,3",8,"5,2",161,147,"91,1",25,"15,2",90,"56,0",84,"51,9",98,"60,6"
Quindío,190,188,"99,1",147,"77,5",185,"97,3",168,"88,4",180,"94,8",58,"30,5",1,"0,4",195,194,"99,7",151,"77,5",190,"97,4",178,"91,1",185,"95,0",48,"24,6",0,"0,0",210,209,"99,5",170,"80,9",205,"97,8",190,"90,7",199,"94,7",47,"22,2",1,"0,3",199,198,"99,5",165,"82,8",194,"97,4",181,"91,1",188,"94,7",35,"17,7",0,"0,2",204,203,"99,7",166,"81,4",200,"97,8",181,"88,7",195,"95,6",31,"15,2",0,"0,0",209,209,"99,6",178,"84,8",204,"97,7",185,"88,5",199,"95,0",34,"16,3",0,"0,0",215,214,"99,8",178,"82,9",210,"98,0",191,"88,9",205,"95,8"
Risaralda,325,324,"99,7",231,"71,1",308,"94,8",272,"83,6",289,"88,9",96,"29,4",1,"0,2",335,334,"99,8",239,"71,3",321,"95,9",272,"81,3",297,"88,9",93,"27,6",0,"0,1",349,346,"99,2",264,"75,8",336,"96,4",297,"85,0",315,"90,3",92,"26,4",2,"0,6",333,331,"99,4",258,"77,3",319,"95,7",287,"86,0",301,"90,2",112,"33,7",1,"0,4",341,340,"99,7",274,"80,3",327,"96,0",293,"85,9",311,"91,1",70,"20,5",0,"0,1",349,348,"99,6",287,"82,3",338,"96,7",300,"86,0",320,"91,5",96,"27,4",1,"0,3",357,355,"99,5",293,"82,2",333,"93,1",307,"86,0",323,"90,5"
San Andrés,16,16,"99,8",0,"0,0",8,"51,1",5,"28,9",16,"99,8",2,"15,2",0,"0,0",15,15,"100,0",0,"0,0",5,"30,3",3,"19,2",15,"99,9",1,"9,6",0,"0,0",16,16,"100,0",0,"0,0",7,"42,9",3,"19,9",16,"99,7",1,"7,3",0,"0,0",15,15,"100,0",0,"0,0",6,"37,4",4,"27,5",15,"99,6",0,"2,7",0,"0,0",16,16,"99,5",0,"0,0",7,"43,2",6,"38,0",15,"97,3",1,"7,9",0,"0,1",16,16,"99,8",0,"0,0",8,"50,8",7,"44,8",16,"100,0",0,"2,2",0,"0,0",17,17,"99,8",0,"0,0",7,"40,6",6,"38,4",16,"99,4"
Santander,714,711,"99,6",513,"71,8",592,"82,8",551,"77,2",565,"79,1",243,"34,0",2,"0,3",738,733,"99,4",488,"66,1",610,"82,6",550,"74,5",579,"78,4",217,"29,4",2,"0,3",755,753,"99,7",550,"72,9",675,"89,4",570,"75,4",597,"79,0",192,"25,4",2,"0,2",769,764,"99,3",572,"74,4",654,"85,1",590,"76,7",622,"80,9",194,"25,3",4,"0,5",786,783,"99,7",580,"73,8",690,"87,8",598,"76,1",635,"80,8",188,"23,9",1,"0,2",803,800,"99,6",572,"71,3",738,"91,9",620,"77,1",650,"81,0",188,"23,3",2,"0,2",821,818,"99,7",646,"78,6",763,"92,8",651,"79,3",679,"82,6"
Sucre,247,242,"97,7",146,"59,1",209,"84,7",129,"52,2",151,"60,9",15,"6,3",5,"2,1",271,252,"93,2",157,"57,9",230,"85,0",146,"53,9",160,"59,1",17,"6,2",13,"4,9",274,270,"98,7",137,"50,2",240,"87,5",135,"49,2",161,"58,7",12,"4,3",3,"1,0",278,274,"98,4",136,"49,0",232,"83,4",141,"50,6",165,"59,1",10,"3,7",3,"1,2",285,282,"98,9",154,"53,9",233,"81,8",152,"53,4",177,"62,0",7,"2,3",2,"0,8",292,290,"99,4",158,"54,1",262,"89,6",156,"53,3",182,"62,3",7,"2,5",1,"0,4",299,297,"99,4",170,"56,8",261,"87,3",163,"54,6",192,"64,2"
