departamento,fecha,ndvi_medio
Cundinamarca,2022-03-06,0.6035116148355701
Guainia,2022-03-06,0.597966402790961
Guajira,2022-03-06,0.3798677696256446
Guaviare,2022-03-06,0.6719282490458971
Huila,2022-03-06,0.4800973723149275
Magdalena,2022-03-06,0.6015995401221157
Meta,2022-03-06,0.5817313857740061
Narino,2022-03-06,0.6959412021648325
Norte De Santander,2022-03-06,0.4824020206527343
Putumayo,2022-03-06,0.7018969853705226
Quindio,2022-03-06,0.7103984192283309
Risaralda,2022-03-06,0.7108948482855089
Santander,2022-03-06,0.655355693921951
Sucre,2022-03-06,0.5415040824113441
Tolima,2022-03-06,0.6008420601477918
Valle Del Cauca,2022-03-06,0.6614555146019011
Vaupes,2022-03-06,0.6588010490129492
Vichada,2022-03-06,0.4364209602777672
Amazonas,2022-03-22,0.4415147725576521
Antioquia,2022-03-22,0.6169770566503445
Arauca,2022-03-22,0.4370818482654936
Atlantico,2022-03-22,0.481167051865801
Bolivar,2022-03-22,0.6012981509640561
Boyaca,2022-03-22,0.5577869199690089
Caldas,2022-03-22,0.6576763548234951
Caqueta,2022-03-22,0.6123977153322524
Casanare,2022-03-22,0.4662976622044754
Cauca,2022-03-22,0.6493130252113275
Cesar,2022-03-22,0.6099196902568809
Choco,2022-03-22,0.5680265818618648
Cordoba,2022-03-22,0.5779211647007904
Cundinamarca,2022-03-22,0.5165263195984323
Guainia,2022-03-22,0.6078400930219782
Guajira,2022-03-22,0.3693229506331991
Guaviare,2022-03-22,0.6773459151724956
Huila,2022-03-22,0.5871481589981647
Magdalena,2022-03-22,0.593174442932368
Meta,2022-03-22,0.5537258707934942
Narino,2022-03-22,0.6890022042947912
Norte De Santander,2022-03-22,0.5743092857625451
Putumayo,2022-03-22,0.6623480059799103
Quindio,2022-03-22,0.5255915255781797
Risaralda,2022-03-22,0.6250468878403475
Santander,2022-03-22,0.6994171422286297
Sucre,2022-03-22,0.5337642095169348
Tolima,2022-03-22,0.5527754666459349
Valle Del Cauca,2022-03-22,0.5454095384492507
Vaupes,2022-03-22,0.5625132592008119
Vichada,2022-03-22,0.4730986328746966
Amazonas,2022-04-07,0.3700558647311239
Antioquia,2022-04-07,0.5087575418697917
Arauca,2022-04-07,0.4791612564544451
Atlantico,2022-04-07,0.5388883085014445
Bolivar,2022-04-07,0.5794009545855382
Boyaca,2022-04-07,0.5648848670642581
Caldas,2022-04-07,0.571321530607744
Caqueta,2022-04-07,0.4766608835464173
Casanare,2022-04-07,0.5279371368829479
Cauca,2022-04-07,0.6192212220085079
Cesar,2022-04-07,0.6509650868582251
Choco,2022-04-07,0.5892524090483806
Cordoba,2022-04-07,0.5904037242674632
Cundinamarca,2022-04-07,0.5699445479090183
Guainia,2022-04-07,0.6355200351235863
Guajira,2022-04-07,0.3802548695149512
Guaviare,2022-04-07,0.5330017085962196
Huila,2022-04-07,0.5624766943002817
Magdalena,2022-04-07,0.67087482813353
Meta,2022-04-07,0.5534973942653193
Narino,2022-04-07,0.580349887444924
Norte De Santander,2022-04-07,0.4742325493691641
Putumayo,2022-04-07,0.6892715971294932
Quindio,2022-04-07,0.5170828405516439
Risaralda,2022-04-07,0.6002857396979779
Santander,2022-04-07,0.5139077737169114
Sucre,2022-04-07,0.5673628213407788
Tolima,2022-04-07,0.5909133774557779
Valle Del Cauca,2022-04-07,0.5631586883630224
Vaupes,2022-04-07,0.6594599523435114
Vichada,2022-04-07,0.5379449650650661
Amazonas,2022-04-23,0.4862116718613021
Antioquia,2022-04-23,0.7378769902201558
Arauca,2022-04-23,0.6092173939031326
Atlantico,2022-04-23,0.6715507555093989
Bolivar,2022-04-23,0.7285283578131827
Boyaca,2022-04-23,0.6215906174577318
Caldas,2022-04-23,0.7559721547420415
Caqueta,2022-04-23,0.707740301845795
Casanare,2022-04-23,0.6294851782603561
Cauca,2022-04-23,0.7306319967943558
Cesar,2022-04-23,0.745623118940935
Choco,2022-04-23,0.649023085842912
Cordoba,2022-04-23,0.6960214221028429
Cundinamarca,2022-04-23,0.6272426714916602
Guainia,2022-04-23,0.6046882232012618
Guajira,2022-04-23,0.4821878592187437
Guaviare,2022-04-23,0.6905631752036843
Huila,2022-04-23,0.6850572143898354
Magdalena,2022-04-23,0.736256755353058
Meta,2022-04-23,0.6307320284388549
Narino,2022-04-23,0.7063111649784675
Norte De Santander,2022-04-23,0.7292584367423611
