departamento,año,mes,fecha,clave,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Norte De Santander,2022,febrero,2022-02-01,Norte De Santander_2022_febrero,-1.5194814784280035,-0.1854517654622344,0.8141601785314606,0.8735968762910683,-1.3201442048211154,0.06161976258316711,-2.260464209034979
Putumayo,2022,febrero,2022-02-01,Putumayo_2022_febrero,3.0516671538303384,-0.20991249130886913,-5.032623117999343,1.7691147433859133,-0.19169470295882848,0.9246517715731796,-2.665571905833389
Quindio,2022,febrero,2022-02-01,Quindio_2022_febrero,-5.854696161974619,-1.527130491274155,-0.6563300404128166,1.6515884781851726,-0.1309070080133439,-1.4997857401953731,-0.5403242785810569
Risaralda,2022,febrero,2022-02-01,Risaralda_2022_febrero,-6.39477696190228,-2.076606573693275,0.7846473360869093,1.2047156338991951,0.4568147447601568,-0.8875397603635841,-0.29569507876431256
Santander,2022,febrero,2022-02-01,Santander_2022_febrero,-3.4986413867850943,-0.3746671531487056,-0.2735014661104796,1.223102849766603,-0.49024603666543504,-1.5308150404467153,-0.6190835187338285
Sucre,2022,febrero,2022-02-01,Sucre_2022_febrero,6.8003648803151355,5.365870013356983,2.5401218274178166,-1.3994902237224103,0.25186464781335155,-1.422635153689478,-0.7942878597464533
Tolima,2022,febrero,2022-02-01,Tolima_2022_febrero,-1.773508107573527,1.1307490002279237,-1.504359056316904,1.4849062395156454,-0.20867033155054074,-1.4109396650976194,-0.23638551112814457
Valle Del Cauca,2022,febrero,2022-02-01,Valle Del Cauca_2022_febrero,-3.677515824571514,1.392884948416751,0.2892942729518726,3.482939913539709,0.6204368469955193,-1.2510765833140147,-0.8912418682346118
Vaupes,2022,febrero,2022-02-01,Vaupes_2022_febrero,8.475183969662766,-2.695619204338617,-2.9381706801506313,2.601610859380919,5.842375053117646,-3.202528846290133,1.8040390748205144
Vichada,2022,febrero,2022-02-01,Vichada_2022_febrero,11.449197789419879,-7.816309094729857,1.405267812052815,4.79472594274031,-3.4251216127599915,-3.000319439968044,0.8524557318480833
Amazonas,2022,marzo,2022-03-01,Amazonas_2022_marzo,1.5042967975318857,-7.156583699868676,0.5289334335370736,-2.065764108143388,2.9461858377019854,-2.2491098752856864,-3.946206910569172
Antioquia,2022,marzo,2022-03-01,Antioquia_2022_marzo,-4.8147755401108885,-0.8020646435437814,0.5871804159011945,1.3965453531674896,0.3842734809653672,-2.283137050290564,-0.011238358533280639
Arauca,2022,marzo,2022-03-01,Arauca_2022_marzo,4.21588097054549,1.4849649198475545,1.452968108202265,0.4339136067576543,-0.2588650892185421,-1.0947268111399544,-2.669030376614652
Atlantico,2022,marzo,2022-03-01,Atlantico_2022_marzo,0.7700643533782273,5.661347247607725,4.084770921597976,1.524331355510063,0.8446719503127381,-2.433715034440208,-1.7377547037411805
Bogotá,2022,marzo,2022-03-01,Bogotá_2022_marzo,-6.73909722532677,1.69833507498622,0.6060886254290913,6.75101501931972,1.740774296851727,-0.2708422557893001,-1.617843316749834
Bolivar,2022,marzo,2022-03-01,Bolivar_2022_marzo,1.6147767117240583,0.3336387690412049,2.4369232389057567,-1.7235283375365087,-0.6345818071632142,-2.8182668027059297,-0.3998620868718327
Boyaca,2022,marzo,2022-03-01,Boyaca_2022_marzo,-2.2950833335136194,0.4156888832001193,-4.139201516751531,2.5809632869544656,-0.4344390220013755,-0.2214335573141709,-0.48214944668820836
Caldas,2022,marzo,2022-03-01,Caldas_2022_marzo,-6.6670532351296385,-2.4236859765657996,0.43791771310106425,0.8486996589571705,0.5209026267246387,-1.3411123295713243,1.0758816536680145
Caqueta,2022,marzo,2022-03-01,Caqueta_2022_marzo,0.8304146328339824,-0.10443631654584071,-1.513198924188628,-0.9184658712616165,-0.7614443788359375,0.1718546800546356,-1.1619320679457048
Casanare,2022,marzo,2022-03-01,Casanare_2022_marzo,-0.5056951627311398,1.4132739146889186,-0.4625274159212826,1.5253593682506656,-0.4588103110918368,-1.8440020704909368,-2.7194878063424612
Cauca,2022,marzo,2022-03-01,Cauca_2022_marzo,1.8270050116677892,-0.07844738816263097,-5.135007883648251,0.9731056105777403,-0.9572924471356513,0.6150858320431253,0.18738397476450738
Cesar,2022,marzo,2022-03-01,Cesar_2022_marzo,3.71692548830068,3.971460958571096,1.6071913107721298,1.4174519751512238,-0.7596423524497812,-2.0424766070314258,-1.574985385204511
Choco,2022,marzo,2022-03-01,Choco_2022_marzo,9.07420598213531,2.9036174743941423,-2.7983641069483403,1.5453952009466136,1.2184785425781417,-2.9647049752306804,0.6965164435404698
Cundinamarca,2022,marzo,2022-03-01,Cundinamarca_2022_marzo,-1.7730916747890069,3.7534785126735786,0.5328861820578679,5.031923044170753,1.8778421151969982,0.5828984745569021,-0.32792100874233643
Cordoba,2022,marzo,2022-03-01,Cordoba_2022_marzo,3.8937949036709187,0.36330837817620365,-2.182209581407705,-1.2820707612794426,-1.727467246965596,-2.7176235412295116,-0.17642408362093576
Guainia,2022,marzo,2022-03-01,Guainia_2022_marzo,5.908966618569506,-5.904326154757663,-0.4642776755703366,1.7489867139852364,1.691571974408894,-0.9049019085795964,-2.5248508751770666
Guaviare,2022,marzo,2022-03-01,Guaviare_2022_marzo,6.881221414080958,4.540674588663161,2.044365961923141,2.12226777810936,3.653987034728843,3.134532150108244,-0.6460929024279121
Huila,2022,marzo,2022-03-01,Huila_2022_marzo,0.1410717059894745,1.546933296292392,-1.4342041687474791,0.35220116978998617,-0.1251967354747418,-0.6843216091725666,-0.28247058311395473
Guajira,2022,marzo,2022-03-01,Guajira_2022_marzo,7.255541578727388,-1.5687866689111403,-0.3176529020623416,1.9083054815376916,-3.6002302157302597,-2.7618446934617387,-3.7604249098592177
Magdalena,2022,marzo,2022-03-01,Magdalena_2022_marzo,5.025960030210975,3.7822470125719736,2.0168571204515633,0.051674716760871826,-0.9621951180884462,-2.3236330310739866,-1.0127165734650951
Meta,2022,marzo,2022-03-01,Meta_2022_marzo,-2.01167824949312,0.19670839121133912,-0.01873776851930329,1.2213570068446857,0.09651453906677125,-0.8979633046642483,-2.0031587044074075
Narino,2022,marzo,2022-03-01,Narino_2022_marzo,5.210757842583173,4.520596065889789,-4.734581547447939,2.415272651905866,0.5188254304715638,0.672797298308376,0.0679885737387547
Norte De Santander,2022,marzo,2022-03-01,Norte De Santander_2022_marzo,-1.7146155808421073,-0.39168174670810074,0.5304498897360982,0.6777109990859771,-1.37960029275199,0.062427698065305987,-2.2221505274364683
Putumayo,2022,marzo,2022-03-01,Putumayo_2022_marzo,3.06352171923518,-0.21787839299598033,-5.208144088363253,1.6733142149220872,-0.04247917143845381,1.310431385267005,-2.235357074515803
Quindio,2022,marzo,2022-03-01,Quindio_2022_marzo,-5.867621273155068,-1.2729539947485613,-0.4372569552739461,1.4407014786054468,-0.2566675250154118,-1.0010971873722818,0.12117170031293036
Risaralda,2022,marzo,2022-03-01,Risaralda_2022_marzo,-6.279558379433325,-1.7690615698007328,1.0167497857173504,1.0877386202744395,0.5038464856675412,-0.3877322862431759,0.3408411446669464
Santander,2022,marzo,2022-03-01,Santander_2022_marzo,-3.5985443109813118,-0.5179484490775793,-0.5426617585054911,1.118281063518277,-0.3833912092190541,-1.4893225319955945,-0.5187949832077318
Sucre,2022,marzo,2022-03-01,Sucre_2022_marzo,6.680180849623046,5.400158258927197,2.4019045322499126,-1.589731601983465,0.24328999124841183,-1.1045612428472262,-0.5068276867277219
Tolima,2022,marzo,2022-03-01,Tolima_2022_marzo,-1.69162468455146,1.262689764589361,-1.4051778124260614,1.4299569301280692,-0.17849418381145268,-0.9092565608997434,0.3767211526983664
Valle Del Cauca,2022,marzo,2022-03-01,Valle Del Cauca_2022_marzo,-3.68132803115404,1.4429586236368823,0.3850284493336505,3.2548441895926428,0.4387977361911174,-0.7097544974153108,-0.4831960785100531
Vaupes,2022,marzo,2022-03-01,Vaupes_2022_marzo,8.438028543426782,-2.962124245827174,-3.0989429678645664,2.637410820277642,5.7792025500924655,-3.1881982159832063,1.54153615697385
Vichada,2022,marzo,2022-03-01,Vichada_2022_marzo,11.369289046462422,-7.902500307844511,1.2724203562621463,4.7341853013368675,-3.445283718560075,-2.8574963981325414,0.9919391247591279
Amazonas,2022,abril,2022-04-01,Amazonas_2022_abril,1.4168689786885371,-7.140020344474395,0.5574419143207527,-2.091143499991222,2.902896819576874,-2.348666544012073,-3.817308318004074
Antioquia,2022,abril,2022-04-01,Antioquia_2022_abril,-4.8392692465453555,-0.8570596686844306,0.3635859705964853,1.2495556274825546,0.5291645357149295,-2.166376192038028,0.011786185449948534
Arauca,2022,abril,2022-04-01,Arauca_2022_abril,4.118429772915234,1.3373660560358782,1.1008357406402636,0.31584845462000605,-0.014711383449679554,-0.7111540066206612,-1.8703814961568468
Atlantico,2022,abril,2022-04-01,Atlantico_2022_abril,0.4253541630811013,5.364578441179958,3.5934321222829575,1.3718349746763738,0.8930792169620522,-2.273695737209339,-1.064950801137748
Bogotá,2022,abril,2022-04-01,Bogotá_2022_abril,-6.826721877780411,1.7214337786253733,0.36533223844983775,6.559648885757237,1.8792950523326968,-0.05508865785110378,-1.3931130773770282
Bolivar,2022,abril,2022-04-01,Bolivar_2022_abril,1.4979470698468484,0.2921412154211006,2.101579236623602,-1.8982134889653337,-0.4477386975310995,-2.6107549617595933,-0.06673265150987134
Boyaca,2022,abril,2022-04-01,Boyaca_2022_abril,-2.319867384335782,0.34383719004647334,-4.263392827141111,2.5417414490583554,-0.32261825168818004,-0.18216736355549143,-0.3293532538846566
Caldas,2022,abril,2022-04-01,Caldas_2022_abril,-6.795614833482354,-2.623445216963584,0.36467708063515786,0.7827294215106718,0.3699213451694915,-1.3654633001037386,1.0557084580567975
Caqueta,2022,abril,2022-04-01,Caqueta_2022_abril,0.7012987193353659,-0.22650964915494426,-1.5957845610984491,-0.8825209672824539,-0.929615699572686,-0.021306303373396937,-1.5628632768305266
Casanare,2022,abril,2022-04-01,Casanare_2022_abril,-0.7628755369932054,1.2405658563470923,-0.9898161685977916,1.2812983179327981,-0.23887807119719534,-1.491423701070144,-1.9869014934740792
Cauca,2022,abril,2022-04-01,Cauca_2022_abril,1.754228514851043,0.030847101007842055,-5.157043678672249,0.8634283672238596,-0.9122495075331956,0.6260248160733095,0.3569798542429674
Cesar,2022,abril,2022-04-01,Cesar_2022_abril,3.638601358278703,3.8603376241985674,1.342695237219848,1.4030881642546538,-0.5475400117718869,-1.8393573115766941,-0.9772483038137709
Choco,2022,abril,2022-04-01,Choco_2022_abril,9.169759477453088,2.751484349602234,-3.1660162919119483,1.379502510212498,1.5816281035288702,-2.5405113476959578,1.0503080003680338
Cundinamarca,2022,abril,2022-04-01,Cundinamarca_2022_abril,-1.9535732911071464,3.417590362617574,0.21856530276887046,4.973851924917168,1.8614291477165394,0.6414028890340329,-0.07083848363363664
Cordoba,2022,abril,2022-04-01,Cordoba_2022_abril,3.9608648257677155,0.4370167074271314,-2.347274391742652,-1.325158773022316,-1.3982043390304353,-2.404366373034852,0.32782864183726057
Guainia,2022,abril,2022-04-01,Guainia_2022_abril,5.875254825904745,-5.902985677273112,-0.475454365598221,1.6423952495055842,1.6774509394614052,-0.843528844195069,-2.406777945928451
Guaviare,2022,abril,2022-04-01,Guaviare_2022_abril,6.753864172968199,4.1887918728615094,1.5708063509273607,2.0360748754425564,3.7764357189799913,3.0289390770321365,-0.8790590198697626
Huila,2022,abril,2022-04-01,Huila_2022_abril,0.07044845238645081,1.5864020839750328,-1.3105664488410502,0.26065260396489504,-0.29285052673412953,-0.3930248102694688,0.25178184087582184
Guajira,2022,abril,2022-04-01,Guajira_2022_abril,7.2629796077498465,-1.496093721057686,-0.3710396584648768,1.731960715350362,-3.456505981342104,-2.4988362617809785,-3.369385758075052
Magdalena,2022,abril,2022-04-01,Magdalena_2022_abril,4.9613597837074215,3.8492163328535582,1.8555292993028623,-0.03415741607486197,-0.8200338405837564,-1.826816251551626,-0.25587272563596775
Meta,2022,abril,2022-04-01,Meta_2022_abril,-1.9986051019948399,0.1939266930991914,-0.3109776249258949,1.1231574217664586,0.43757778996650937,-0.7560338132469967,-1.7570180342451014
Narino,2022,abril,2022-04-01,Narino_2022_abril,5.298365485049801,4.378791021261863,-4.896066757232555,2.346964957073428,0.6897645815322563,0.7858775863404721,0.010393724163028577
Norte De Santander,2022,abril,2022-04-01,Norte De Santander_2022_abril,-1.8079546202033234,-0.7087278020678134,0.2107914878156094,0.5134855679509596,-1.2921298651894217,0.36559038576481034,-1.738478907452287
Putumayo,2022,abril,2022-04-01,Putumayo_2022_abril,2.9871114679102884,-0.22393447910804684,-5.376659776161411,1.5123950176623957,0.04807903638611599,1.415055384273227,-2.047148555684806
Quindio,2022,abril,2022-04-01,Quindio_2022_abril,-5.9250788499261695,-1.4254967755796122,-0.6036407285936335,1.3521159353673862,-0.2675398138862064,-0.9708064341668328,-0.04927480808388724
Risaralda,2022,abril,2022-04-01,Risaralda_2022_abril,-6.4523829559745804,-1.898729883399849,0.8351537775049265,0.9847278465006293,0.42935972364640623,-0.5510330154094373,0.15046146807319816
Santander,2022,abril,2022-04-01,Santander_2022_abril,-3.463212395618661,-0.5326499218074362,-0.5216508377372581,1.1184259559420642,-0.2907527794199178,-1.4117686474169049,-0.6821794946322902
Sucre,2022,abril,2022-04-01,Sucre_2022_abril,6.6813521677581775,5.272549348754342,2.2556712558956997,-1.6327850800044656,0.3686912819854183,-0.7220941114032855,0.07728777994442877
Tolima,2022,abril,2022-04-01,Tolima_2022_abril,-1.837558786331488,1.2182216849664256,-1.5619827187685156,1.2114783201851056,-0.21122887942977617,-0.6139791733661989,0.8000951724881775
Valle Del Cauca,2022,abril,2022-04-01,Valle Del Cauca_2022_abril,-3.7257170436301714,1.5266475109539432,0.32139750021269275,3.124275350701684,0.5071649860592734,-0.6171665146770892,-0.40427652064089364
Vaupes,2022,abril,2022-04-01,Vaupes_2022_abril,8.533185221103789,-2.7781870481314566,-2.9798140244544946,2.5414234832520974,5.8080569766478565,-2.785086645504421,1.98852437018608
Vichada,2022,abril,2022-04-01,Vichada_2022_abril,11.389673903553152,-7.80672867299333,1.1983507421194743,4.654316205258284,-3.265191748683547,-2.4010853173644384,1.662607459399586
Amazonas,2022,mayo,2022-05-01,Amazonas_2022_mayo,1.4138431060225674,-7.15910732279616,0.54357293990385,-2.0901634026781566,2.855872259282354,-2.2454332290869514,-3.918184433578774
