departamento,año,mes,fecha,clave,PC1,PC2,PC3,PC4,PC5,PC6,PC7,FIES_moderado_grave,FIES_grave
Cordoba,2022,marzo,2022-03-01,Cordoba_2022_marzo,3.893794903670919,0.3633083781762036,-2.182209581407705,-1.2820707612794426,-1.727467246965596,-2.717623541229512,-0.1764240836209357,38.9,8.1
Guainia,2022,marzo,2022-03-01,Guainia_2022_marzo,5.908966618569506,-5.904326154757663,-0.4642776755703366,1.7489867139852364,1.691571974408894,-0.9049019085795964,-2.524850875177066,29.8,4.4
Guaviare,2022,marzo,2022-03-01,Guaviare_2022_marzo,6.881221414080958,4.540674588663161,2.044365961923141,2.12226777810936,3.653987034728843,3.134532150108244,-0.6460929024279121,30.4,6.2
Huila,2022,marzo,2022-03-01,Huila_2022_marzo,0.1410717059894745,1.546933296292392,-1.4342041687474791,0.3522011697899861,-0.1251967354747418,-0.6843216091725666,-0.2824705831139547,19.0,2.4
Guajira,2022,marzo,2022-03-01,Guajira_2022_marzo,7.255541578727388,-1.5687866689111405,-0.3176529020623416,1.908305481537692,-3.60023021573026,-2.7618446934617387,-3.7604249098592177,59.7,17.5
Magdalena,2022,marzo,2022-03-01,Magdalena_2022_marzo,5.025960030210975,3.7822470125719736,2.0168571204515637,0.0516747167608718,-0.9621951180884462,-2.3236330310739866,-1.0127165734650951,45.3,10.4
Meta,2022,marzo,2022-03-01,Meta_2022_marzo,-2.01167824949312,0.1967083912113391,-0.0187377685193032,1.2213570068446855,0.0965145390667712,-0.8979633046642483,-2.0031587044074075,25.5,4.1
Narino,2022,marzo,2022-03-01,Narino_2022_marzo,5.210757842583173,4.520596065889789,-4.734581547447939,2.415272651905866,0.5188254304715638,0.672797298308376,0.0679885737387547,37.1,7.4
Norte De Santander,2022,marzo,2022-03-01,Norte De Santander_2022_marzo,-1.7146155808421073,-0.3916817467081007,0.5304498897360982,0.6777109990859771,-1.37960029275199,0.0624276980653059,-2.2221505274364683,25.8,2.9
Putumayo,2022,marzo,2022-03-01,Putumayo_2022_marzo,3.06352171923518,-0.2178783929959803,-5.208144088363253,1.6733142149220872,-0.0424791714384538,1.310431385267005,-2.235357074515803,24.4,3.0
Quindio,2022,marzo,2022-03-01,Quindio_2022_marzo,-5.867621273155068,-1.2729539947485613,-0.4372569552739461,1.4407014786054468,-0.2566675250154118,-1.0010971873722818,0.1211717003129303,17.3,2.2
Risaralda,2022,marzo,2022-03-01,Risaralda_2022_marzo,-6.279558379433325,-1.7690615698007328,1.0167497857173504,1.0877386202744397,0.5038464856675412,-0.3877322862431759,0.3408411446669464,17.5,2.5
Santander,2022,marzo,2022-03-01,Santander_2022_marzo,-3.598544310981312,-0.5179484490775793,-0.5426617585054911,1.118281063518277,-0.3833912092190541,-1.4893225319955945,-0.5187949832077318,20.5,2.5
Sucre,2022,marzo,2022-03-01,Sucre_2022_marzo,6.680180849623046,5.400158258927197,2.4019045322499126,-1.589731601983465,0.2432899912484118,-1.1045612428472262,-0.5068276867277219,47.9,10.4
Tolima,2022,marzo,2022-03-01,Tolima_2022_marzo,-1.69162468455146,1.262689764589361,-1.4051778124260614,1.4299569301280692,-0.1784941838114526,-0.9092565608997434,0.3767211526983664,27.4,3.3
Valle Del Cauca,2022,marzo,2022-03-01,Valle Del Cauca_2022_marzo,-3.68132803115404,1.4429586236368823,0.3850284493336505,3.2548441895926428,0.4387977361911174,-0.7097544974153108,-0.4831960785100531,28.0,4.5
Vaupes,2022,marzo,2022-03-01,Vaupes_2022_marzo,8.438028543426782,-2.962124245827174,-3.0989429678645664,2.637410820277642,5.7792025500924655,-3.1881982159832063,1.54153615697385,36.5,8.7
Vichada,2022,marzo,2022-03-01,Vichada_2022_marzo,11.369289046462422,-7.902500307844511,1.2724203562621463,4.734185301336868,-3.445283718560075,-2.8574963981325414,0.991939124759128,30.7,9.2
Amazonas,2022,abril,2022-04-01,Amazonas_2022_abril,1.4168689786885371,-7.140020344474395,0.5574419143207527,-2.091143499991222,2.902896819576874,-2.348666544012073,-3.817308318004074,18.6,3.4
Antioquia,2022,abril,2022-04-01,Antioquia_2022_abril,-4.839269246545356,-0.8570596686844306,0.3635859705964853,1.2495556274825546,0.5291645357149295,-2.166376192038028,0.0117861854499485,20.9,3.3
Arauca,2022,abril,2022-04-01,Arauca_2022_abril,4.118429772915234,1.3373660560358782,1.1008357406402636,0.315848454620006,-0.0147113834496795,-0.7111540066206612,-1.8703814961568468,39.3,11.0
Atlantico,2022,abril,2022-04-01,Atlantico_2022_abril,0.4253541630811013,5.364578441179958,3.593432122282957,1.3718349746763738,0.8930792169620522,-2.273695737209339,-1.064950801137748,46.1,8.3
Bogotá,2022,abril,2022-04-01,Bogotá_2022_abril,-6.826721877780411,1.7214337786253733,0.3653322384498377,6.559648885757237,1.8792950523326968,-0.0550886578511037,-1.3931130773770282,25.4,4.2
Bolivar,2022,abril,2022-04-01,Bolivar_2022_abril,1.4979470698468484,0.2921412154211006,2.101579236623602,-1.8982134889653337,-0.4477386975310995,-2.6107549617595933,-0.0667326515098713,32.6,5.1
Boyaca,2022,abril,2022-04-01,Boyaca_2022_abril,-2.319867384335782,0.3438371900464733,-4.263392827141111,2.5417414490583554,-0.32261825168818,-0.1821673635554914,-0.3293532538846566,20.7,2.1
Caldas,2022,abril,2022-04-01,Caldas_2022_abril,-6.795614833482354,-2.623445216963584,0.3646770806351578,0.7827294215106718,0.3699213451694915,-1.3654633001037386,1.0557084580567977,14.6,2.5
Caqueta,2022,abril,2022-04-01,Caqueta_2022_abril,0.7012987193353659,-0.2265096491549442,-1.5957845610984491,-0.8825209672824539,-0.929615699572686,-0.0213063033733969,-1.5628632768305266,27.2,3.2
Casanare,2022,abril,2022-04-01,Casanare_2022_abril,-0.7628755369932054,1.2405658563470925,-0.9898161685977916,1.281298317932798,-0.2388780711971953,-1.491423701070144,-1.9869014934740792,28.2,4.3
Cauca,2022,abril,2022-04-01,Cauca_2022_abril,1.754228514851043,0.030847101007842,-5.157043678672249,0.8634283672238596,-0.9122495075331956,0.6260248160733095,0.3569798542429674,22.3,2.8
Cesar,2022,abril,2022-04-01,Cesar_2022_abril,3.638601358278703,3.860337624198568,1.342695237219848,1.4030881642546538,-0.5475400117718869,-1.839357311576694,-0.9772483038137708,41.1,9.4
Choco,2022,abril,2022-04-01,Choco_2022_abril,9.169759477453088,2.751484349602234,-3.1660162919119483,1.379502510212498,1.5816281035288702,-2.5405113476959578,1.0503080003680338,43.2,10.4
