departamento,año,mes,fecha,Analfabetismo,Bajo_logro_educativo,Barreras_acceso_salud,Desempleo_larga_duracion,Inasistencia_escolar,Rezago_escolar,Sin_aseguramiento_salud,Trabajo_informal,IPM_Total,Vida_general,Salud,Seguridad,Trabajo_actividad,Tiempo_libre,Ingreso,Propia_totalmente_pagada,Propia_la_estan_pagando,En_arriendo_o_subarriendo,Con_permiso_sin_pago,Posesion_sin_titulo,Propiedad_colectiva,Deficit_cuantitativo,Deficit_cualitativo,Deficit_habitacional,No_alcanzan_gastos_minimos,Alcanzan_gastos_minimos,Cubren_mas_gastos_minimos,Pobreza_monetaria,No_pobres,Energia,Gas_natural,Acueducto,Alcantarillado,Recoleccion_basura,Telefono_fijo,Ningun_servicio,precipitacion_promedio,temperatura_promedio,ndvi_promedio,IPC_Total,FIES_preocupacion_alimentos,FIES_no_alimentos_saludables,FIES_poca_variedad_alimentos,FIES_saltar_comida,FIES_comio_menos,FIES_sin_alimentos,FIES_hambre_sin_comer,FIES_no_comio_dia_entero,FIES_leve_moderado,FIES_grave,FIES_moderada,FIES_inseguridad_alimentaria
Cesar,2023,junio,2023-06-01,12.5,45.6,0.4,12.1,2.8,31.9,5.6,84.7,17.7,8.4,8.3,7.3,7.0,7.9,6.8,37.5,2.2,35.3,19.1,4.7,1.2,9.1,35.9,45.0,53.2,43.7,3.1,67.8,32.2,98.0,69.8,89.2,75.9,79.6,5.2,1.8,4.922612989144747,26.51664282214402,0.7672076039278941,168.89,42.3,35.6,38.1,26.1,32.0,17.9,20.4,8.0,32.2,9.0,23.2,severo
Choco,2023,junio,2023-06-01,23.3,57.0,0.7,19.7,4.1,33.8,2.6,94.2,37.4,7.2,7.2,6.9,6.4,6.7,6.4,67.0,0.2,18.0,13.4,0.3,1.1,46.9,41.5,88.4,52.5,44.5,2.9,81.7,18.3,95.5,0.0,28.4,16.2,49.5,0.6,4.4,12.74918828708767,25.58369822308023,0.676143732197799,166.33,25.7,22.1,23.1,14.3,18.0,11.5,16.4,8.4,18.9,2.9,16.0,moderado
Cundinamarca,2023,junio,2023-06-01,3.7,36.1,2.3,13.3,2.2,24.8,8.8,66.9,7.6,7.9,7.8,7.2,7.2,7.4,6.8,27.7,8.8,48.9,9.7,2.4,2.6,0.9,16.0,17.0,35.1,56.5,8.4,41.9,58.1,99.8,80.7,97.1,80.2,88.7,11.4,0.0,4.107747149855428,18.45594202763492,0.6049726201055416,170.52,41.3,33.3,37.0,20.8,28.0,11.6,11.9,5.5,27.2,4.1,23.1,moderado
Cordoba,2023,junio,2023-06-01,16.0,51.6,1.7,13.8,1.9,25.8,1.8,89.2,21.4,8.0,8.2,8.2,7.0,7.7,5.9,42.1,0.7,19.8,28.8,8.6,0.1,19.6,36.5,56.1,47.3,48.6,4.1,71.3,28.7,99.6,51.7,75.1,46.5,58.4,1.9,0.3,7.381242816803146,27.26847375689988,0.7389411242619527,171.59,48.0,37.1,41.3,27.7,30.8,13.9,15.7,3.1,30.6,4.5,26.1,moderado
Guainia,2023,junio,2023-06-01,17.4,64.3,3.8,10.7,7.1,37.8,13.0,89.1,52.1,7.9,7.9,7.3,7.1,7.6,6.6,14.3,0.3,16.1,6.7,6.6,55.9,52.1,32.5,84.6,55.8,40.0,4.3,70.7,29.3,82.6,0.0,35.1,29.3,34.1,0.2,15.6,14.1969734021767,25.43853566133612,0.5152617260288673,166.33,41.0,31.5,33.8,24.7,23.5,15.0,15.0,8.7,26.4,6.3,20.1,moderado
Guaviare,2023,junio,2023-06-01,8.5,55.4,6.2,8.9,6.0,32.2,12.0,83.9,30.6,8.1,7.8,7.7,7.3,7.3,6.3,33.5,2.6,37.9,17.0,5.1,3.8,43.2,19.2,62.4,50.9,46.5,2.6,55.3,44.7,94.5,19.0,59.1,51.3,67.4,0.1,4.5,9.603377822964324,24.63653503318316,0.7474573050536425,166.33,52.4,43.9,46.1,30.0,35.1,18.1,25.4,13.5,36.7,9.2,27.5,severo
Huila,2023,junio,2023-06-01,7.1,52.8,1.3,12.3,3.9,28.2,4.1,83.1,11.9,8.1,7.8,6.5,7.0,7.6,6.2,39.2,2.8,31.0,17.4,7.5,2.2,4.1,24.3,28.5,51.3,45.2,3.5,60.1,39.9,99.4,68.4,90.0,68.1,69.2,9.3,0.3,2.14404126806679,18.78139632618104,0.6675173280631989,179.98,43.8,36.0,34.9,14.5,24.2,6.5,9.4,3.2,22.7,2.8,19.9,moderado
Guajira,2023,junio,2023-06-01,23.1,57.4,2.3,14.4,3.7,36.1,8.7,90.8,42.6,7.7,7.9,7.2,6.8,7.5,6.3,28.7,0.4,25.3,12.4,12.3,20.9,6.7,46.2,52.9,66.3,32.3,1.4,78.9,21.1,69.1,42.5,54.6,43.6,51.1,1.3,29.9,2.07579183424185,29.08960019770404,0.5616209614015368,170.66,59.4,51.9,55.1,45.1,50.4,32.2,32.4,14.4,50.1,15.6,34.5,severo
Magdalena,2023,junio,2023-06-01,14.1,48.0,2.7,10.7,2.9,33.7,7.7,83.6,21.4,8.4,8.3,7.8,7.6,8.0,6.6,42.5,1.4,28.4,20.2,4.9,2.5,10.8,48.0,58.8,56.9,39.6,3.5,67.8,32.2,99.8,66.8,87.6,54.1,78.4,5.3,0.2,5.068674345949702,27.7239962668941,0.7620946207906878,165.42,54.8,43.2,50.1,35.0,39.2,23.1,20.5,9.7,39.0,8.7,30.3,severo
Meta,2023,junio,2023-06-01,5.4,40.6,4.0,11.9,3.4,25.1,6.9,71.2,12.9,8.1,7.8,7.2,7.5,7.6,6.7,31.1,6.0,45.3,13.3,2.9,1.3,8.3,18.4,26.7,46.5,49.5,4.0,41.6,58.4,98.4,69.8,83.8,77.8,85.9,5.6,1.2,10.91504044739471,24.93810049067876,0.6609625584383398,174.27,40.9,34.4,35.3,20.5,23.5,9.6,14.6,5.4,25.9,4.7,21.2,moderado
Narino,2023,junio,2023-06-01,10.2,59.9,4.6,11.0,1.6,23.5,4.7,90.0,16.6,7.3,6.9,6.4,6.1,6.8,5.5,42.0,1.8,23.0,27.2,3.1,2.8,20.3,25.5,45.8,53.2,44.1,2.7,71.2,28.8,97.9,13.7,74.5,43.4,58.8,3.9,2.0,5.516565835087942,19.40902887528928,0.6889970650797134,173.5,54.0,41.4,47.0,16.5,27.4,10.6,11.8,6.4,29.7,3.8,25.9,moderado
Norte De Santander,2023,junio,2023-06-01,9.6,49.8,1.0,10.7,4.7,28.2,13.1,84.5,20.5,8.1,7.7,6.9,6.8,7.5,6.2,35.2,3.4,38.6,17.2,4.8,0.8,11.0,29.4,40.4,40.7,55.8,3.5,50.9,49.1,99.5,61.3,87.2,84.0,85.9,8.2,0.4,4.868498748497874,21.6378220114627,0.7403040094481237,180.71,43.3,31.2,34.0,16.7,24.0,10.1,11.2,6.6,23.9,3.6,20.3,moderado
Putumayo,2023,junio,2023-06-01,5.7,49.6,1.6,13.2,3.7,19.7,4.0,91.0,13.2,8.0,8.0,7.0,6.9,7.0,6.6,26.5,0.4,38.8,27.3,5.8,1.3,38.0,24.8,62.8,37.7,59.4,2.9,65.4,34.6,94.5,17.1,54.5,55.3,63.2,0.3,5.2,11.42089876722016,23.07775168099281,0.7840087122522231,166.33,43.0,27.5,31.7,9.6,16.2,3.5,6.3,2.5,18.0,1.2,16.8,moderado
Quindio,2023,junio,2023-06-01,6.4,40.4,2.9,17.3,1.2,16.2,9.0,70.6,7.5,8.2,8.0,7.8,7.5,7.8,7.0,33.0,4.6,47.3,11.5,2.2,1.4,3.8,10.6,14.4,42.1,50.0,7.9,42.1,57.9,99.6,84.8,97.7,88.5,95.0,16.3,0.0,2.217684215874564,18.41644419690767,0.741167801493897,172.05,39.3,32.9,36.7,16.9,26.8,7.4,9.1,3.3,24.5,3.6,20.9,moderado
Risaralda,2023,junio,2023-06-01,6.9,45.1,3.1,17.7,2.3,18.1,7.6,67.0,11.8,8.6,8.4,8.5,8.0,8.2,7.7,33.7,3.6,49.2,10.9,1.6,1.0,3.3,19.3,22.6,28.1,64.6,7.2,27.8,72.2,99.6,82.3,96.7,86.0,91.5,27.4,0.3,3.941356025243861,18.74895266651014,0.7741123764268896,172.78,26.8,20.1,23.0,12.9,19.5,9.0,11.9,3.9,17.1,3.9,13.2,moderado
Santander,2023,junio,2023-06-01,6.3,42.4,1.3,11.8,2.6,23.0,6.0,74.6,9.8,8.5,8.2,7.5,7.8,8.0,7.0,35.5,3.9,44.4,12.1,1.9,2.1,4.8,18.3,23.1,32.0,60.4,7.6,47.8,52.2,99.6,71.3,91.9,77.1,81.0,23.3,0.2,5.520530480370891,22.41266084858373,0.75909181607995,177.57,40.6,31.9,37.0,13.7,24.7,7.5,11.1,2.7,23.2,3.0,20.2,moderado
Sucre,2023,junio,2023-06-01,19.5,52.2,2.1,12.4,2.1,31.2,1.8,90.2,23.1,7.9,7.9,7.6,6.8,7.4,6.1,45.6,1.4,19.3,19.3,11.1,3.3,9.9,48.7,58.6,63.6,34.7,1.7,66.2,33.8,99.4,54.1,89.6,53.3,62.3,2.5,0.4,6.493756311170038,28.00218640030393,0.6792911192675376,166.53,56.1,45.4,53.2,45.2,42.2,27.4,27.7,10.4,44.8,10.6,34.2,severo
Tolima,2023,junio,2023-06-01,8.9,49.4,4.7,16.1,2.6,22.1,7.0,78.2,12.9,8.3,7.9,7.7,7.4,7.7,6.4,36.7,4.9,39.2,14.7,1.8,2.8,5.2,21.5,26.8,51.4,43.9,4.7,54.3,45.7,99.5,77.8,89.0,74.3,76.7,8.5,0.2,2.059265450138378,21.42057953823407,0.7224003863055871,176.03,50.2,43.7,46.5,21.2,31.8,13.2,15.5,3.4,32.6,5.5,27.1,moderado
Valle Del Cauca,2023,junio,2023-06-01,5.1,34.6,0.7,13.9,1.8,22.9,6.4,63.9,7.2,7.9,7.7,6.9,7.2,7.4,6.6,33.0,3.0,46.3,12.5,1.5,3.7,3.9,11.5,15.4,34.4,56.0,9.5,36.5,63.5,99.5,83.6,97.1,90.6,94.8,16.7,0.3,2.438612591259166,19.02255258790589,0.7169565949309746,180.01,41.3,33.8,37.7,17.2,28.0,11.0,12.4,3.2,26.1,4.3,21.8,moderado
Vaupes,2023,junio,2023-06-01,10.0,58.6,0.8,52.8,5.0,33.3,0.6,88.2,55.7,8.3,8.0,7.9,7.3,7.5,6.4,16.9,0.1,7.6,4.9,4.0,66.5,84.3,6.3,90.6,70.4,28.6,1.0,72.4,27.6,88.7,0.0,27.0,24.1,28.0,0.0,11.2,10.47244844060614,24.77626438619554,0.614280532292096,166.33,50.3,27.5,43.2,38.3,36.0,18.9,21.7,8.6,34.4,4.7,29.7,moderado
Vichada,2023,junio,2023-06-01,27.9,82.9,0.1,24.3,15.4,23.2,25.6,96.2,65.4,7.2,7.4,7.1,6.3,6.9,6.2,12.2,0.2,12.3,13.4,34.0,27.9,43.1,49.1,92.2,57.9,41.2,0.8,87.4,12.6,35.8,0.0,23.5,1.8,24.4,0.3,63.6,13.70317772305596,25.98753607596134,0.5850863778745781,166.33,41.9,35.4,43.1,35.6,39.0,30.6,37.6,31.3,39.7,16.8,22.9,severo
Amazonas,2023,julio,2023-07-01,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2,25.4,8.5,8.2,8.0,7.8,8.0,7.9,34.1,0.4,28.4,6.7,3.8,26.6,50.7,31.5,82.2,36.1,56.1,7.8,45.8,54.2,89.8,0.0,41.7,38.7,57.6,0.5,8.3,7.693460648659736,25.5063545475987,0.5286583434774698,166.78,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9,20.6,5.2,15.4,moderado
Antioquia,2023,julio,2023-07-01,7.2,38.8,1.6,15.1,2.1,21.8,5.6,65.0,9.5,8.5,8.4,8.4,7.9,8.1,7.5,37.5,3.4,44.9,9.8,1.8,2.6,3.9,19.4,23.3,36.3,56.2,7.4,44.1,55.9,99.9,65.8,94.3,81.6,92.1,21.5,0.1,7.485263257447506,23.14150402359974,0.7580700807439593,170.73,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9,21.6,3.0,18.6,moderado
Arauca,2023,julio,2023-07-01,9.4,56.3,4.5,13.7,4.8,25.1,16.7,93.2,22.8,7.8,7.8,7.7,6.8,7.5,6.6,33.3,1.1,34.6,20.8,9.4,0.7,30.1,20.8,50.9,45.1,52.8,2.1,68.3,31.7,98.4,24.8,70.9,51.3,66.8,0.6,1.4,11.14440815602907,26.04983980858809,0.6536021095767017,166.78,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4,31.7,9.9,21.8,severo
Atlantico,2023,julio,2023-07-01,7.5,27.7,1.4,11.7,3.1,31.1,7.3,72.4,12.0,8.5,8.3,6.9,7.0,7.9,6.7,39.9,2.9,35.1,18.2,2.6,1.2,3.1,26.0,29.0,48.9,42.2,9.0,56.7,43.3,99.9,92.2,96.3,89.7,95.4,21.1,0.0,4.251894690073318,29.33111321403696,0.7408516085101919,167.89,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3,35.8,8.5,27.3,severo
Bogotá,2023,julio,2023-07-01,1.9,20.6,1.5,14.7,1.4,19.9,9.2,53.3,3.6,7.9,7.8,6.4,7.2,7.4,6.9,30.7,8.0,51.6,8.5,0.7,0.4,0.7,10.4,11.1,24.8,58.4,16.9,25.5,74.5,100.0,92.7,99.4,99.3,99.9,34.8,0.0,4.120379755713024,18.3563438097935,0.5486689940713234,170.83,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8,21.2,4.7,16.5,moderado
Bolivar,2023,julio,2023-07-01,12.7,42.8,1.7,10.2,2.6,28.4,5.3,82.9,18.4,8.1,7.9,7.4,7.1,7.6,6.8,37.2,1.1,28.8,24.6,5.9,2.3,13.1,47.6,60.7,46.8,47.0,6.2,64.5,35.5,99.4,67.8,86.8,48.2,74.1,11.6,0.6,5.694149461242836,27.67969335750758,0.7592910549286072,169.09,49.1,36.9,42.6,27.4,31.3,19.4,18.2,6.3,32.9,6.2,26.7,moderado
Boyaca,2023,julio,2023-07-01,6.0,47.7,2.3,15.7,1.9,24.9,4.5,77.5,9.9,8.0,7.8,7.8,7.3,7.5,6.7,36.6,3.7,40.7,15.5,2.8,0.6,1.8,18.3,20.1,37.7,57.9,4.4,43.1,56.9,99.7,65.0,95.3,65.6,69.5,2.4,0.1,5.491209005482357,16.88182942603898,0.534286845369973,171.86,36.6,26.9,31.9,9.6,17.0,4.2,5.4,1.2,16.7,1.5,15.2,moderado
Caldas,2023,julio,2023-07-01,6.2,45.1,2.2,17.7,0.8,20.9,4.7,66.2,7.4,8.6,8.3,8.5,8.0,8.2,7.4,34.8,5.2,45.0,11.9,0.9,2.2,2.9,16.7,19.7,29.0,59.3,11.7,28.5,71.5,99.8,70.5,93.5,83.6,87.6,14.4,0.1,3.297124904731499,19.60509356533668,0.7727135389371231,173.11,24.4,19.6,24.8,9.2,16.8,4.4,5.8,1.7,14.8,1.9,12.9,leve
Caqueta,2023,julio,2023-07-01,9.0,55.4,0.8,13.4,7.2,29.4,5.0,87.2,17.2,8.0,7.9,7.5,7.3,7.3,6.0,28.0,1.2,39.2,25.1,5.8,0.7,22.3,18.3,40.6,40.2,56.7,3.1,69.5,30.5,98.5,55.6,79.2,66.2,75.5,1.6,1.3,10.9599474044759,23.85624824966281,0.7231772181362566,176.23,23.9,18.3,21.1,9.3,14.6,3.6,5.0,1.5,13.7,1.2,12.5,leve
Casanare,2023,julio,2023-07-01,6.1,46.3,2.2,10.0,4.1,26.0,9.2,81.1,15.0,8.1,7.9,7.2,7.2,7.2,6.5,35.8,1.2,43.6,11.5,6.5,1.4,6.1,23.9,30.0,43.5,51.9,4.7,44.3,55.7,97.8,85.5,83.2,72.2,78.9,1.8,1.4,11.32043381314979,25.89820905418146,0.6487886911731824,166.78,48.3,40.7,45.4,26.9,32.5,14.2,16.9,4.5,32.9,6.0,26.9,moderado
Cauca,2023,julio,2023-07-01,11.3,57.5,1.3,14.6,3.2,23.2,3.0,86.1,15.8,7.4,7.2,6.9,6.6,7.1,5.9,40.8,1.8,18.6,24.5,10.3,4.0,9.0,35.1,44.2,62.1,35.2,2.7,60.7,39.3,98.8,28.9,78.9,42.9,45.0,2.8,0.9,3.264608430801448,18.41983037961549,0.6831565932802182,183.39,44.6,38.5,42.8,20.3,28.4,12.7,15.3,4.6,29.0,5.5,23.5,moderado
Cesar,2023,julio,2023-07-01,12.5,45.6,0.4,12.1,2.8,31.9,5.6,84.7,17.7,8.4,8.3,7.3,7.0,7.9,6.8,37.5,2.2,35.3,19.1,4.7,1.2,9.1,35.9,45.0,53.2,43.7,3.1,67.8,32.2,98.0,69.8,89.2,75.9,79.6,5.2,1.8,3.584579500514049,27.28022153398417,0.7368766605919483,169.05,42.3,35.6,38.1,26.1,32.0,17.9,20.4,8.0,32.2,9.0,23.2,severo
Choco,2023,julio,2023-07-01,23.3,57.0,0.7,19.7,4.1,33.8,2.6,94.2,37.4,7.2,7.2,6.9,6.4,6.7,6.4,67.0,0.2,18.0,13.4,0.3,1.1,46.9,41.5,88.4,52.5,44.5,2.9,81.7,18.3,95.5,0.0,28.4,16.2,49.5,0.6,4.4,13.72551971021285,25.83460240067724,0.6664999053444008,166.78,25.7,22.1,23.1,14.3,18.0,11.5,16.4,8.4,18.9,2.9,16.0,moderado
Cundinamarca,2023,julio,2023-07-01,3.7,36.1,2.3,13.3,2.2,24.8,8.8,66.9,7.6,7.9,7.8,7.2,7.2,7.4,6.8,27.7,8.8,48.9,9.7,2.4,2.6,0.9,16.0,17.0,35.1,56.5,8.4,41.9,58.1,99.8,80.7,97.1,80.2,88.7,11.4,0.0,4.120379755713024,18.3563438097935,0.5486689940713234,170.83,41.3,33.3,37.0,20.8,28.0,11.6,11.9,5.5,27.2,4.1,23.1,moderado
Cordoba,2023,julio,2023-07-01,16.0,51.6,1.7,13.8,1.9,25.8,1.8,89.2,21.4,8.0,8.2,8.2,7.0,7.7,5.9,42.1,0.7,19.8,28.8,8.6,0.1,19.6,36.5,56.1,47.3,48.6,4.1,71.3,28.7,99.6,51.7,75.1,46.5,58.4,1.9,0.3,8.351717364864497,27.62382125133461,0.782523815656412,172.75,48.0,37.1,41.3,27.7,30.8,13.9,15.7,3.1,30.6,4.5,26.1,moderado
Guainia,2023,julio,2023-07-01,17.4,64.3,3.8,10.7,7.1,37.8,13.0,89.1,52.1,7.9,7.9,7.3,7.1,7.6,6.6,14.3,0.3,16.1,6.7,6.6,55.9,52.1,32.5,84.6,55.8,40.0,4.3,70.7,29.3,82.6,0.0,35.1,29.3,34.1,0.2,15.6,15.03244710293664,25.67664695553779,0.6018541880102333,166.78,41.0,31.5,33.8,24.7,23.5,15.0,15.0,8.7,26.4,6.3,20.1,moderado
Guaviare,2023,julio,2023-07-01,8.5,55.4,6.2,8.9,6.0,32.2,12.0,83.9,30.6,8.1,7.8,7.7,7.3,7.3,6.3,33.5,2.6,37.9,17.0,5.1,3.8,43.2,19.2,62.4,50.9,46.5,2.6,55.3,44.7,94.5,19.0,59.1,51.3,67.4,0.1,4.5,14.78618085733871,24.57533348140595,0.7292575452865176,166.78,52.4,43.9,46.1,30.0,35.1,18.1,25.4,13.5,36.7,9.2,27.5,severo
Huila,2023,julio,2023-07-01,7.1,52.8,1.3,12.3,3.9,28.2,4.1,83.1,11.9,8.1,7.8,6.5,7.0,7.6,6.2,39.2,2.8,31.0,17.4,7.5,2.2,4.1,24.3,28.5,51.3,45.2,3.5,60.1,39.9,99.4,68.4,90.0,68.1,69.2,9.3,0.3,2.727346169711512,18.93003538355742,0.5945485184298425,181.73,43.8,36.0,34.9,14.5,24.2,6.5,9.4,3.2,22.7,2.8,19.9,moderado
Guajira,2023,julio,2023-07-01,23.1,57.4,2.3,14.4,3.7,36.1,8.7,90.8,42.6,7.7,7.9,7.2,6.8,7.5,6.3,28.7,0.4,25.3,12.4,12.3,20.9,6.7,46.2,52.9,66.3,32.3,1.4,78.9,21.1,69.1,42.5,54.6,43.6,51.1,1.3,29.9,1.69176783553765,29.29619626117645,0.5383595001174009,169.29,59.4,51.9,55.1,45.1,50.4,32.2,32.4,14.4,50.1,15.6,34.5,severo
Magdalena,2023,julio,2023-07-01,14.1,48.0,2.7,10.7,2.9,33.7,7.7,83.6,21.4,8.4,8.3,7.8,7.6,8.0,6.6,42.5,1.4,28.4,20.2,4.9,2.5,10.8,48.0,58.8,56.9,39.6,3.5,67.8,32.2,99.8,66.8,87.6,54.1,78.4,5.3,0.2,3.746257623091904,28.52820350739703,0.7322403654354822,166.34,54.8,43.2,50.1,35.0,39.2,23.1,20.5,9.7,39.0,8.7,30.3,severo
Meta,2023,julio,2023-07-01,5.4,40.6,4.0,11.9,3.4,25.1,6.9,71.2,12.9,8.1,7.8,7.2,7.5,7.6,6.7,31.1,6.0,45.3,13.3,2.9,1.3,8.3,18.4,26.7,46.5,49.5,4.0,41.6,58.4,98.4,69.8,83.8,77.8,85.9,5.6,1.2,11.8471515694664,24.88541936049204,0.6803650048465242,175.28,40.9,34.4,35.3,20.5,23.5,9.6,14.6,5.4,25.9,4.7,21.2,moderado
Narino,2023,julio,2023-07-01,10.2,59.9,4.6,11.0,1.6,23.5,4.7,90.0,16.6,7.3,6.9,6.4,6.1,6.8,5.5,42.0,1.8,23.0,27.2,3.1,2.8,20.3,25.5,45.8,53.2,44.1,2.7,71.2,28.8,97.9,13.7,74.5,43.4,58.8,3.9,2.0,7.858407006835928,19.44743383028862,0.6631371419539213,172.1,54.0,41.4,47.0,16.5,27.4,10.6,11.8,6.4,29.7,3.8,25.9,moderado
Norte De Santander,2023,julio,2023-07-01,9.6,49.8,1.0,10.7,4.7,28.2,13.1,84.5,20.5,8.1,7.7,6.9,6.8,7.5,6.2,35.2,3.4,38.6,17.2,4.8,0.8,11.0,29.4,40.4,40.7,55.8,3.5,50.9,49.1,99.5,61.3,87.2,84.0,85.9,8.2,0.4,5.372475505973608,21.99919327140775,0.7303974209290256,180.12,43.3,31.2,34.0,16.7,24.0,10.1,11.2,6.6,23.9,3.6,20.3,moderado
Putumayo,2023,julio,2023-07-01,5.7,49.6,1.6,13.2,3.7,19.7,4.0,91.0,13.2,8.0,8.0,7.0,6.9,7.0,6.6,26.5,0.4,38.8,27.3,5.8,1.3,38.0,24.8,62.8,37.7,59.4,2.9,65.4,34.6,94.5,17.1,54.5,55.3,63.2,0.3,5.2,12.37805420999668,23.38255604679852,0.7949635851532453,166.78,43.0,27.5,31.7,9.6,16.2,3.5,6.3,2.5,18.0,1.2,16.8,moderado
Quindio,2023,julio,2023-07-01,6.4,40.4,2.9,17.3,1.2,16.2,9.0,70.6,7.5,8.2,8.0,7.8,7.5,7.8,7.0,33.0,4.6,47.3,11.5,2.2,1.4,3.8,10.6,14.4,42.1,50.0,7.9,42.1,57.9,99.6,84.8,97.7,88.5,95.0,16.3,0.0,2.138153859803696,18.50858588912326,0.7395767919417932,172.34,39.3,32.9,36.7,16.9,26.8,7.4,9.1,3.3,24.5,3.6,20.9,moderado
Risaralda,2023,julio,2023-07-01,6.9,45.1,3.1,17.7,2.3,18.1,7.6,67.0,11.8,8.6,8.4,8.5,8.0,8.2,7.7,33.7,3.6,49.2,10.9,1.6,1.0,3.3,19.3,22.6,28.1,64.6,7.2,27.8,72.2,99.6,82.3,96.7,86.0,91.5,27.4,0.3,4.170244348771119,18.94360658314346,0.7752044685389359,172.27,26.8,20.1,23.0,12.9,19.5,9.0,11.9,3.9,17.1,3.9,13.2,moderado
Santander,2023,julio,2023-07-01,6.3,42.4,1.3,11.8,2.6,23.0,6.0,74.6,9.8,8.5,8.2,7.5,7.8,8.0,7.0,35.5,3.9,44.4,12.1,1.9,2.1,4.8,18.3,23.1,32.0,60.4,7.6,47.8,52.2,99.6,71.3,91.9,77.1,81.0,23.3,0.2,5.534006568146474,22.81627589673204,0.7543238827502574,176.79,40.6,31.9,37.0,13.7,24.7,7.5,11.1,2.7,23.2,3.0,20.2,moderado
Sucre,2023,julio,2023-07-01,19.5,52.2,2.1,12.4,2.1,31.2,1.8,90.2,23.1,7.9,7.9,7.6,6.8,7.4,6.1,45.6,1.4,19.3,19.3,11.1,3.3,9.9,48.7,58.6,63.6,34.7,1.7,66.2,33.8,99.4,54.1,89.6,53.3,62.3,2.5,0.4,5.898269057957163,28.3402991622544,0.7345447317105438,168.28,56.1,45.4,53.2,45.2,42.2,27.4,27.7,10.4,44.8,10.6,34.2,severo
Tolima,2023,julio,2023-07-01,8.9,49.4,4.7,16.1,2.6,22.1,7.0,78.2,12.9,8.3,7.9,7.7,7.4,7.7,6.4,36.7,4.9,39.2,14.7,1.8,2.8,5.2,21.5,26.8,51.4,43.9,4.7,54.3,45.7,99.5,77.8,89.0,74.3,76.7,8.5,0.2,1.90898517012166,21.51607289507172,0.678103969979236,177.82,50.2,43.7,46.5,21.2,31.8,13.2,15.5,3.4,32.6,5.5,27.1,moderado
Valle Del Cauca,2023,julio,2023-07-01,5.1,34.6,0.7,13.9,1.8,22.9,6.4,63.9,7.2,7.9,7.7,6.9,7.2,7.4,6.6,33.0,3.0,46.3,12.5,1.5,3.7,3.9,11.5,15.4,34.4,56.0,9.5,36.5,63.5,99.5,83.6,97.1,90.6,94.8,16.7,0.3,2.689214215542338,19.17570646990773,0.7022238421548422,180.86,41.3,33.8,37.7,17.2,28.0,11.0,12.4,3.2,26.1,4.3,21.8,moderado
Vaupes,2023,julio,2023-07-01,10.0,58.6,0.8,52.8,5.0,33.3,0.6,88.2,55.7,8.3,8.0,7.9,7.3,7.5,6.4,16.9,0.1,7.6,4.9,4.0,66.5,84.3,6.3,90.6,70.4,28.6,1.0,72.4,27.6,88.7,0.0,27.0,24.1,28.0,0.0,11.2,13.58759658922504,24.77988690685666,0.6944962026326078,166.78,50.3,27.5,43.2,38.3,36.0,18.9,21.7,8.6,34.4,4.7,29.7,moderado
Vichada,2023,julio,2023-07-01,27.9,82.9,0.1,24.3,15.4,23.2,25.6,96.2,65.4,7.2,7.4,7.1,6.3,6.9,6.2,12.2,0.2,12.3,13.4,34.0,27.9,43.1,49.1,92.2,57.9,41.2,0.8,87.4,12.6,35.8,0.0,23.5,1.8,24.4,0.3,63.6,11.88463936462865,26.3309387640102,0.6164194914982564,166.78,41.9,35.4,43.1,35.6,39.0,30.6,37.6,31.3,39.7,16.8,22.9,severo
Amazonas,2023,agosto,2023-08-01,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2,25.4,8.5,8.2,8.0,7.8,8.0,7.9,34.1,0.4,28.4,6.7,3.8,26.6,50.7,31.5,82.2,36.1,56.1,7.8,45.8,54.2,89.8,0.0,41.7,38.7,57.6,0.5,8.3,4.738150197693301,26.56665510731961,0.5535908285099096,167.58,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9,20.6,5.2,15.4,moderado
Antioquia,2023,agosto,2023-08-01,7.2,38.8,1.6,15.1,2.1,21.8,5.6,65.0,9.5,8.5,8.4,8.4,7.9,8.1,7.5,37.5,3.4,44.9,9.8,1.8,2.6,3.9,19.4,23.3,36.3,56.2,7.4,44.1,55.9,99.9,65.8,94.3,81.6,92.1,21.5,0.1,7.817657199299138,23.29063326263618,0.7323992914459337,172.05,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9,21.6,3.0,18.6,moderado
Arauca,2023,agosto,2023-08-01,9.4,56.3,4.5,13.7,4.8,25.1,16.7,93.2,22.8,7.8,7.8,7.7,6.8,7.5,6.6,33.3,1.1,34.6,20.8,9.4,0.7,30.1,20.8,50.9,45.1,52.8,2.1,68.3,31.7,98.4,24.8,70.9,51.3,66.8,0.6,1.4,7.36911136180124,27.35023451427752,0.6481478779769646,167.58,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4,31.7,9.9,21.8,severo
